"Município";"Sim";"Não";"Total"
"351565 Fernão";1;-;1
"351570 Ferraz de Vasconcelos";21;2;23
"351580 Flora Rica";2;-;2
"351590 Floreal";1;-;1
"351600 Flórida Paulista";2;-;2
"351610 Florínia";1;-;1
"351620 Franca";43;65;108
"351630 Francisco Morato";13;-;13
"351640 Franco da Rocha";71;7;78
"351650 Gabriel Monteiro";1;-;1
"351660 Gália";2;1;3
"351670 Garça";12;2;14
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";1;-;1
"351690 General Salgado";1;1;2
"351700 Getulina";1;-;1
"351710 Glicério";1;-;1
"351720 Guaiçara";1;-;1
"351730 Guaimbê";1;-;1
"351740 Guaíra";4;3;7
"351750 Guapiaçu";3;-;3
"351760 Guapiara";1;-;1
"351770 Guará";4;2;6
"351780 Guaraçaí";1;-;1
"351790 Guaraci";2;-;2
"351800 Guarani d'Oeste";1;-;1
"351820 Guararapes";4;-;4
"351830 Guararema";4;1;5
"351840 Guaratinguetá";15;17;32
"351850 Guareí";3;-;3
"351860 Guariba";14;1;15
"351870 Guarujá";20;12;32
"351880 Guarulhos";121;49;170
"351885 Guatapará";1;-;1
"351890 Guzolândia";2;-;2
"351900 Herculândia";3;-;3
"351905 Holambra";1;-;1
"351907 Hortolândia";25;1;26
"351910 Iacanga";2;1;3
"351925 Iaras";6;-;6
"351930 Ibaté";3;-;3
"351940 Ibirá";1;-;1
"351950 Ibirarema";1;-;1
"351960 Ibitinga";3;1;4
"351970 Ibiúna";4;5;9
"351980 Icém";1;-;1
"351990 Iepê";1;-;1
"352000 Igaraçu do Tietê";2;-;2
"352010 Igarapava";6;5;11
"352020 Igaratá";2;-;2
"352030 Iguape";1;-;1
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";5;7;12
"352040 Ilhabela";4;1;5
"352050 Indaiatuba";29;22;51
"352060 Indiana";1;-;1
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";2;-;2
"352100 Iperó";6;2;8
"352110 Ipeúna";1;-;1
"352115 Ipiguá";1;-;1
"352120 Iporanga";1;-;1
"352130 Ipuã";4;-;4
"352140 Iracemápolis";2;-;2
"352150 Irapuã";1;-;1
"352160 Irapuru";7;-;7
"352170 Itaberá";2;-;2
"352180 Itaí";3;-;3
"352190 Itajobi";4;-;4
"352200 Itaju";1;-;1
"352210 Itanhaém";13;-;13
"352220 Itapecerica da Serra";17;4;21
"352230 Itapetininga";22;10;32
"352240 Itapeva";9;8;17
"352250 Itapevi";15;2;17
"352260 Itapira";15;17;32
"352270 Itápolis";6;2;8
"352280 Itaporanga";1;-;1
"352290 Itapuí";1;-;1
"352310 Itaquaquecetuba";9;2;11
"352320 Itararé";4;-;4
"352330 Itariri";1;-;1
"352340 Itatiba";12;11;23
"352350 Itatinga";1;2;3
"352360 Itirapina";6;-;6
"352370 Itirapuã";1;-;1
"352380 Itobi";1;-;1
"352390 Itu";23;10;33
"352400 Itupeva";11;1;12
"352410 Ituverava";7;6;13
"352420 Jaborandi";2;-;2
"352430 Jaboticabal";13;5;18
"352440 Jacareí";33;45;78
"352450 Jaci";9;-;9
"352460 Jacupiranga";1;2;3
"352470 Jaguariúna";7;4;11
"352480 Jales";9;12;21
"352500 Jandira";9;5;14
"352510 Jardinópolis";6;1;7
"352520 Jarinu";2;-;2
"352530 Jaú";28;18;46
"352550 Joanópolis";1;1;2
"352560 João Ramalho";2;-;2
"352570 José Bonifácio";2;1;3
"352580 Júlio Mesquita";1;-;1
"352590 Jundiaí";67;162;229
"352600 Junqueirópolis";4;-;4
"352610 Juquiá";2;1;3
"352620 Juquitiba";2;-;2
"352630 Lagoinha";1;-;1
"352640 Laranjal Paulista";4;3;7
"352650 Lavínia";4;-;4
"352660 Lavrinhas";1;-;1
"352670 Leme";12;6;18
"352680 Lençóis Paulista";7;3;10
"352690 Limeira";50;24;74
"352700 Lindóia";1;-;1
"352710 Lins";17;15;32
"352720 Lorena";12;9;21
"352730 Louveira";8;1;9
"352740 Lucélia";5;-;5
"352760 Luís Antônio";3;-;3
"352790 Lutécia";1;-;1
"352800 Macatuba";4;1;5
"352810 Macaubal";1;-;1
"352820 Macedônia";1;-;1
"352830 Magda";1;-;1
"352840 Mairinque";4;1;5
"352850 Mairiporã";9;9;18
"352870 Marabá Paulista";1;-;1
"352880 Maracaí";6;-;6
"352900 Marília";62;32;94
"352910 Marinópolis";1;-;1
"352920 Martinópolis";16;1;17
"352930 Matão";18;8;26
"352940 Mauá";46;15;61
"352950 Mendonça";1;-;1
"352960 Meridiano";1;-;1
"352965 Mesópolis";2;-;2
"352970 Miguelópolis";7;-;7
"352980 Mineiros do Tietê";2;-;2
"352990 Miracatu";2;-;2
"353010 Mirandópolis";5;2;7
"353020 Mirante do Paranapanema";2;-;2
"353030 Mirassol";16;8;24
"353040 Mirassolândia";1;-;1
"353050 Mococa";12;16;28
"353060 Mogi das Cruzes";33;21;54
"353070 Mogi Guaçu";20;13;33
"353080 Mogi Mirim";24;8;32
"353100 Monções";1;-;1
"353110 Mongaguá";6;-;6
"353120 Monte Alegre do Sul";1;2;3
"353130 Monte Alto";10;21;31
"353140 Monte Aprazível";2;-;2
"353150 Monte Azul Paulista";3;3;6
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";4;-;4
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";3;4;7
"353200 Morungaba";1;-;1
"353215 Nantes";2;-;2
"353220 Narandiba";1;-;1
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";2;2;4
"353250 Neves Paulista";1;-;1
"353260 Nhandeara";5;1;6
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353282 Nova Campina";1;-;1
"353286 Nova Castilho";1;-;1
"353290 Nova Europa";1;-;1
"353300 Nova Granada";4;1;5
"353310 Nova Guataporanga";1;-;1
"353320 Nova Independência";1;-;1
"353330 Nova Luzitânia";1;-;1
"353340 Nova Odessa";2;3;5
"353325 Novais";1;-;1
"353350 Novo Horizonte";4;2;6
"353380 Óleo";1;-;1
"353390 Olímpia";5;4;9
"353400 Onda Verde";2;-;2
"353410 Oriente";1;1;2
"353420 Orindiúva";4;-;4
"353430 Orlândia";5;8;13
"353440 Osasco";45;82;127
"353450 Oscar Bressane";1;-;1
"353460 Osvaldo Cruz";7;2;9
"353470 Ourinhos";21;23;44
"353480 Ouro Verde";1;-;1
"353475 Ouroeste";2;-;2
"353490 Pacaembu";2;1;3
"353500 Palestina";2;-;2
"353510 Palmares Paulista";1;-;1
"353520 Palmeira d'Oeste";1;-;1
"353530 Palmital";7;-;7
"353540 Panorama";1;1;2
"353550 Paraguaçu Paulista";12;3;15
"353560 Paraibuna";2;-;2
"353580 Paranapanema";1;-;1
"353590 Paranapuã";1;-;1
"353600 Parapuã";2;-;2
"353610 Pardinho";1;-;1
"353620 Pariquera-Açu";3;-;3
"353625 Parisi";1;-;1
"353630 Patrocínio Paulista";2;-;2
"353640 Paulicéia";1;-;1
"353650 Paulínia";16;12;28
"353670 Pederneiras";7;-;7
"353680 Pedra Bela";1;-;1
"353690 Pedranópolis";1;-;1
"353700 Pedregulho";2;-;2
"353710 Pedreira";6;9;15
"353715 Pedrinhas Paulista";2;-;2
"353720 Pedro de Toledo";1;-;1
"353730 Penápolis";11;6;17
"353740 Pereira Barreto";2;6;8
"353760 Peruíbe";5;8;13
"353770 Piacatu";1;-;1
"353780 Piedade";5;8;13
"353790 Pilar do Sul";6;-;6
"353800 Pindamonhangaba";9;14;23
"353810 Pindorama";2;-;2
"353820 Pinhalzinho";2;-;2
"353850 Piquete";1;-;1
"353860 Piracaia";4;-;4
"353870 Piracicaba";33;64;97
"353880 Piraju";3;3;6
"353890 Pirajuí";7;2;9
"353900 Pirangi";1;-;1
"353910 Pirapora do Bom Jesus";2;-;2
"353920 Pirapozinho";5;-;5
"353930 Pirassununga";13;9;22
"353940 Piratininga";2;1;3
"353950 Pitangueiras";9;4;13
"353960 Planalto";1;-;1
"353970 Platina";1;-;1
"353980 Poá";8;2;10
"353990 Poloni";1;1;2
"354000 Pompéia";6;12;18
"354010 Pongaí";1;-;1
"354020 Pontal";4;1;5
"354030 Pontes Gestal";1;-;1
"354050 Porangaba";2;-;2
"354060 Porto Feliz";2;4;6
"354070 Porto Ferreira";3;5;8
"354075 Potim";4;-;4
"354080 Potirendaba";1;-;1
"354085 Pracinha";2;-;2
"354090 Pradópolis";1;1;2
"354100 Praia Grande";18;15;33
"354105 Pratânia";1;-;1
"354110 Presidente Alves";1;-;1
"354120 Presidente Bernardes";8;1;9
"354130 Presidente Epitácio";4;3;7
"354140 Presidente Prudente";52;49;101
"354150 Presidente Venceslau";9;-;9
"354160 Promissão";6;1;7
"354170 Quatá";3;3;6
"354180 Queiroz";1;-;1
"354190 Queluz";2;-;2
"354200 Quintana";1;-;1
"354210 Rafard";1;-;1
"354220 Rancharia";8;-;8
"354230 Redenção da Serra";1;-;1
"354240 Regente Feijó";3;1;4
"354250 Reginópolis";2;-;2
"354260 Registro";7;2;9
"354270 Restinga";1;-;1
"354290 Ribeirão Bonito";1;1;2
"354300 Ribeirão Branco";1;-;1
"354310 Ribeirão Corrente";2;-;2
"354320 Ribeirão do Sul";1;-;1
"354323 Ribeirão dos Índios";1;-;1
"354330 Ribeirão Pires";24;16;40
"354340 Ribeirão Preto";129;153;282
"354380 Rinópolis";1;-;1
"354390 Rio Claro";30;22;52
"354400 Rio das Pedras";3;1;4
"354410 Rio Grande da Serra";3;2;5
"354420 Riolândia";4;-;4
"354425 Rosana";2;3;5
"354430 Roseira";2;1;3
"354440 Rubiácea";1;-;1
"354450 Rubinéia";1;-;1
"354480 Sales";1;-;1
"354490 Sales Oliveira";2;-;2
"354500 Salesópolis";1;-;1
"354515 Saltinho";1;-;1
"354520 Salto";12;9;21
"354530 Salto de Pirapora";7;2;9
"354540 Salto Grande";3;-;3
"354550 Sandovalina";1;-;1
"354560 Santa Adélia";5;-;5
"354570 Santa Albertina";1;-;1
"354580 Santa Bárbara d'Oeste";10;6;16
"354600 Santa Branca";1;-;1
"354625 Santa Cruz da Esperança";1;-;1
"354630 Santa Cruz das Palmeiras";3;3;6
"354640 Santa Cruz do Rio Pardo";9;3;12
"354660 Santa Fé do Sul";11;3;14
"354670 Santa Gertrudes";4;3;7
"354680 Santa Isabel";7;2;9
"354690 Santa Lúcia";2;-;2
"354710 Santa Mercedes";1;-;1
"354750 Santa Rita do Passa Quatro";13;1;14
"354760 Santa Rosa de Viterbo";2;3;5
"354765 Santa Salete";1;-;1
"354730 Santana de Parnaíba";30;-;30
"354770 Santo Anastácio";2;4;6
"354780 Santo André";94;93;187
"354790 Santo Antônio da Alegria";3;-;3
"354800 Santo Antônio de Posse";4;1;5
"354805 Santo Antônio do Aracanguá";1;-;1
"354810 Santo Antônio do Jardim";1;-;1
"354820 Santo Antônio do Pinhal";1;-;1
"354830 Santo Expedito";1;-;1
"354850 Santos";96;120;216
"354860 São Bento do Sapucaí";2;-;2
"354870 São Bernardo do Campo";99;163;262
"354880 São Caetano do Sul";52;55;107
"354890 São Carlos";30;18;48
"354910 São João da Boa Vista";16;33;49
"354920 São João das Duas Pontes";1;-;1
"354930 São João do Pau d'Alho";1;-;1
"354940 São Joaquim da Barra";3;7;10
"354950 São José da Bela Vista";1;-;1
"354960 São José do Barreiro";1;-;1
"354970 São José do Rio Pardo";9;5;14
"354980 São José do Rio Preto";118;72;190
"354990 São José dos Campos";55;257;312
"354995 São Lourenço da Serra";1;-;1
"355000 São Luís do Paraitinga";1;-;1
"355010 São Manuel";3;11;14
"355020 São Miguel Arcanjo";4;-;4
"355030 São Paulo";1700;1136;2836
"355040 São Pedro";4;4;8
"355060 São Roque";4;16;20
"355070 São Sebastião";20;1;21
"355080 São Sebastião da Grama";4;-;4
"355090 São Simão";4;-;4
"355100 São Vicente";35;14;49
"355110 Sarapuí";1;-;1
"355120 Sarutaiá";1;-;1
"355140 Serra Azul";6;-;6
"355160 Serra Negra";6;2;8
"355150 Serrana";5;-;5
"355170 Sertãozinho";9;26;35
"355180 Sete Barras";1;-;1
"355190 Severínia";2;-;2
"355200 Silveiras";-;1;1
"355210 Socorro";6;2;8
"355220 Sorocaba";68;49;117
"355230 Sud Mennucci";5;-;5
"355240 Sumaré";21;5;26
"355255 Suzanápolis";1;-;1
"355250 Suzano";22;9;31
"355260 Tabapuã";2;-;2
"355270 Tabatinga";1;1;2
"355280 Taboão da Serra";25;7;32
"355290 Taciba";1;-;1
"355310 Taiaçu";1;1;2
"355320 Taiúva";1;-;1
"355330 Tambaú";2;5;7
"355340 Tanabi";2;-;2
"355350 Tapiraí";1;-;1
"355360 Tapiratiba";1;-;1
"355365 Taquaral";1;-;1
"355370 Taquaritinga";10;4;14
"355380 Taquarituba";3;-;3
"355385 Taquarivaí";2;-;2
"355390 Tarabai";1;-;1
"355395 Tarumã";3;-;3
"355400 Tatuí";13;23;36
"355410 Taubaté";50;43;93
"355420 Tejupá";1;-;1
"355430 Teodoro Sampaio";2;2;4
"355450 Tietê";3;5;8
"355460 Timburi";1;-;1
"355475 Trabiju";2;-;2
"355480 Tremembé";15;1;16
"355490 Três Fronteiras";1;-;1
"355495 Tuiuti";1;-;1
"355500 Tupã";13;4;17
"355510 Tupi Paulista";4;2;6
"355535 Ubarana";1;-;1
"355540 Ubatuba";10;4;14
"355550 Ubirajara";-;1;1
"355560 Uchoa";1;-;1
"355580 Urânia";1;-;1
"355600 Urupês";2;-;2
"355610 Valentim Gentil";2;-;2
"355620 Valinhos";16;5;21
"355630 Valparaíso";6;2;8
"355635 Vargem";-;9;9
"355640 Vargem Grande do Sul";3;4;7
"355645 Vargem Grande Paulista";6;8;14
"355650 Várzea Paulista";13;-;13
"355660 Vera Cruz";-;1;1
"355670 Vinhedo";10;16;26
"355680 Viradouro";4;2;6
"355690 Vista Alegre do Alto";1;-;1
"355700 Votorantim";4;1;5
"355710 Votuporanga";10;14;24
"Total";6335;4489;10824
&
"Município";"Sim";"Não";"Total"
"350010 Adamantina";6;5;11
"350020 Adolfo";2;-;2
"350030 Aguaí";4;4;8
"350040 Águas da Prata";1;-;1
"350050 Águas de Lindóia";4;1;5
"350055 Águas de Santa Bárbara";1;-;1
"350060 Águas de São Pedro";2;-;2
"350070 Agudos";6;-;6
"350075 Alambari";1;-;1
"350080 Alfredo Marcondes";1;-;1
"350090 Altair";1;-;1
"350100 Altinópolis";8;1;9
"350115 Alumínio";2;1;3
"350120 Álvares Florence";1;-;1
"350130 Álvares Machado";7;-;7
"350140 Álvaro de Carvalho";3;-;3
"350150 Alvinlândia";1;-;1
"350160 Americana";22;43;65
"350170 Américo Brasiliense";6;-;6
"350180 Américo de Campos";1;-;1
"350190 Amparo";20;8;28
"350210 Andradina";12;12;24
"350220 Angatuba";3;-;3
"350230 Anhembi";1;-;1
"350240 Anhumas";1;-;1
"350250 Aparecida";3;1;4
"350270 Apiaí";4;-;4
"350275 Araçariguama";1;-;1
"350280 Araçatuba";46;28;74
"350290 Araçoiaba da Serra";2;-;2
"350300 Aramina";1;-;1
"350310 Arandu";1;-;1
"350315 Arapeí";1;-;1
"350320 Araraquara";45;40;85
"350330 Araras";22;11;33
"350335 Arco-Íris";1;-;1
"350340 Arealva";2;-;2
"350350 Areias";1;-;1
"350360 Areiópolis";1;-;1
"350370 Ariranha";6;-;6
"350380 Artur Nogueira";4;2;6
"350390 Arujá";2;2;4
"350395 Aspásia";1;-;1
"350400 Assis";30;14;44
"350410 Atibaia";13;43;56
"350420 Auriflama";1;-;1
"350430 Avaí";1;-;1
"350440 Avanhandava";1;-;1
"350450 Avaré";16;7;23
"350460 Bady Bassitt";1;-;1
"350480 Bálsamo";2;-;2
"350500 Barão de Antonina";1;-;1
"350510 Barbosa";1;-;1
"350520 Bariri";1;1;2
"350530 Barra Bonita";4;2;6
"350540 Barra do Turvo";1;-;1
"350550 Barretos";32;7;39
"350560 Barrinha";1;-;1
"350570 Barueri";49;7;56
"350580 Bastos";2;1;3
"350590 Batatais";14;11;25
"350600 Bauru";103;39;142
"350610 Bebedouro";17;11;28
"350620 Bento de Abreu";1;-;1
"350630 Bernardino de Campos";3;-;3
"350635 Bertioga";7;2;9
"350640 Bilac";1;-;1
"350650 Birigui";9;5;14
"350660 Biritiba-Mirim";1;-;1
"350670 Boa Esperança do Sul";2;-;2
"350680 Bocaina";2;-;2
"350690 Bofete";2;-;2
"350700 Boituva";1;3;4
"350710 Bom Jesus dos Perdões";3;-;3
"350715 Bom Sucesso de Itararé";1;-;1
"350720 Borá";1;-;1
"350730 Boracéia";1;-;1
"350740 Borborema";3;1;4
"350745 Borebi";1;-;1
"350750 Botucatu";55;39;94
"350760 Bragança Paulista";27;15;42
"350775 Brejo Alegre";1;-;1
"350780 Brodowski";4;-;4
"350790 Brotas";3;1;4
"350800 Buri";2;-;2
"350810 Buritama";4;-;4
"350820 Buritizal";1;-;1
"350830 Cabrália Paulista";1;-;1
"350840 Cabreúva";4;-;4
"350850 Caçapava";5;23;28
"350860 Cachoeira Paulista";13;2;15
"350870 Caconde";5;-;5
"350880 Cafelândia";3;2;5
"350890 Caiabu";1;-;1
"350900 Caieiras";9;9;18
"350910 Caiuá";2;-;2
"350920 Cajamar";9;1;10
"350925 Cajati";3;1;4
"350930 Cajobi";2;1;3
"350940 Cajuru";5;1;6
"350945 Campina do Monte Alegre";1;-;1
"350950 Campinas";237;172;409
"350960 Campo Limpo Paulista";8;-;8
"350970 Campos do Jordão";12;1;13
"350980 Campos Novos Paulista";1;-;1
"350990 Cananéia";1;-;1
"350995 Canas";1;-;1
"351000 Cândido Mota";10;5;15
"351010 Cândido Rodrigues";1;-;1
"351015 Canitar";1;-;1
"351020 Capão Bonito";5;2;7
"351030 Capela do Alto";3;1;4
"351040 Capivari";9;12;21
"351050 Caraguatatuba";13;8;21
"351060 Carapicuíba";39;6;45
"351070 Cardoso";2;-;2
"351080 Casa Branca";29;2;31
"351090 Cássia dos Coqueiros";1;-;1
"351100 Castilho";1;-;1
"351110 Catanduva";29;12;41
"351120 Catiguá";1;-;1
"351130 Cedral";2;-;2
"351140 Cerqueira César";3;11;14
"351150 Cerquilho";4;13;17
"351160 Cesário Lange";1;-;1
"351170 Charqueada";-;1;1
"355720 Chavantes";1;-;1
"351190 Clementina";1;-;1
"351200 Colina";3;1;4
"351210 Colômbia";2;-;2
"351220 Conchal";7;2;9
"351230 Conchas";3;-;3
"351240 Cordeirópolis";6;-;6
"351260 Coronel Macedo";1;-;1
"351270 Corumbataí";1;-;1
"351280 Cosmópolis";9;2;11
"351290 Cosmorama";1;-;1
"351300 Cotia";12;6;18
"351310 Cravinhos";5;1;6
"351320 Cristais Paulista";1;-;1
"351330 Cruzália";1;-;1
"351340 Cruzeiro";16;30;46
"351350 Cubatão";18;15;33
"351360 Cunha";2;-;2
"351370 Descalvado";7;6;13
"351380 Diadema";49;9;58
"351385 Dirce Reis";1;-;1
"351390 Divinolândia";4;-;4
"351410 Dois Córregos";2;-;2
"351420 Dolcinópolis";1;-;1
"351430 Dourado";1;-;1
"351440 Dracena";14;8;22
"351450 Duartina";5;-;5
"351460 Dumont";1;-;1
"351470 Echaporã";1;-;1
"351490 Elias Fausto";3;-;3
"351492 Elisiário";1;-;1
"351495 Embaúba";1;-;1
"351500 Embu das Artes";20;-;20
"351510 Embu-Guaçu";6;3;9
"351512 Emilianópolis";1;-;1
"351515 Engenheiro Coelho";2;-;2
"351518 Espírito Santo do Pinhal";10;6;16
"351519 Espírito Santo do Turvo";1;-;1
"355730 Estiva Gerbi";2;-;2
"351520 Estrela d'Oeste";4;1;5
"351530 Estrela do Norte";1;-;1
"351535 Euclides da Cunha Paulista";1;-;1
"351540 Fartura";2;1;3
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";9;32;41
"351565 Fernão";1;-;1
"351570 Ferraz de Vasconcelos";18;1;19
"351580 Flora Rica";2;-;2
"351590 Floreal";1;-;1
"351600 Flórida Paulista";1;1;2
"351610 Florínia";1;-;1
"351620 Franca";44;60;104
"351630 Francisco Morato";13;-;13
"351640 Franco da Rocha";80;7;87
"351650 Gabriel Monteiro";1;-;1
"351660 Gália";2;-;2
"351670 Garça";12;2;14
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";1;-;1
"351690 General Salgado";1;1;2
"351700 Getulina";2;-;2
"351710 Glicério";1;-;1
"351720 Guaiçara";1;-;1
"351730 Guaimbê";1;-;1
"351740 Guaíra";4;3;7
"351750 Guapiaçu";3;-;3
"351760 Guapiara";1;-;1
"351770 Guará";4;2;6
"351780 Guaraçaí";1;-;1
"351790 Guaraci";2;-;2
"351820 Guararapes";3;1;4
"351830 Guararema";3;1;4
"351840 Guaratinguetá";15;16;31
"351850 Guareí";3;-;3
"351860 Guariba";15;1;16
"351870 Guarujá";22;9;31
"351880 Guarulhos";113;47;160
"351885 Guatapará";1;-;1
"351890 Guzolândia";1;-;1
"351900 Herculândia";3;-;3
"351905 Holambra";1;-;1
"351907 Hortolândia";26;1;27
"351910 Iacanga";2;1;3
"351925 Iaras";2;-;2
"351930 Ibaté";3;-;3
"351940 Ibirá";1;-;1
"351950 Ibirarema";1;-;1
"351960 Ibitinga";3;1;4
"351970 Ibiúna";4;4;8
"351980 Icém";1;-;1
"351990 Iepê";1;-;1
"352000 Igaraçu do Tietê";1;-;1
"352010 Igarapava";6;4;10
"352020 Igaratá";1;-;1
"352030 Iguape";1;-;1
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";5;7;12
"352040 Ilhabela";3;1;4
"352050 Indaiatuba";23;21;44
"352060 Indiana";1;-;1
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";2;-;2
"352100 Iperó";6;1;7
"352110 Ipeúna";1;-;1
"352115 Ipiguá";1;-;1
"352130 Ipuã";4;-;4
"352140 Iracemápolis";2;-;2
"352150 Irapuã";1;-;1
"352160 Irapuru";7;-;7
"352170 Itaberá";3;-;3
"352180 Itaí";3;-;3
"352190 Itajobi";4;-;4
"352200 Itaju";1;-;1
"352210 Itanhaém";10;-;10
"352220 Itapecerica da Serra";20;3;23
"352230 Itapetininga";22;8;30
"352240 Itapeva";9;7;16
"352250 Itapevi";16;3;19
"352260 Itapira";19;15;34
"352270 Itápolis";8;1;9
"352280 Itaporanga";1;-;1
"352290 Itapuí";1;-;1
"352310 Itaquaquecetuba";9;-;9
"352320 Itararé";4;-;4
"352330 Itariri";1;-;1
"352340 Itatiba";18;9;27
"352350 Itatinga";1;2;3
"352360 Itirapina";6;-;6
"352370 Itirapuã";1;-;1
"352380 Itobi";1;-;1
"352390 Itu";23;8;31
"352400 Itupeva";11;1;12
"352410 Ituverava";7;5;12
"352420 Jaborandi";2;-;2
"352430 Jaboticabal";13;5;18
"352440 Jacareí";33;41;74
"352450 Jaci";8;-;8
"352460 Jacupiranga";1;2;3
"352470 Jaguariúna";7;2;9
"352480 Jales";8;14;22
"352500 Jandira";9;5;14
"352510 Jardinópolis";6;-;6
"352520 Jarinu";2;-;2
"352530 Jaú";29;17;46
"352540 Jeriquara";1;-;1
"352550 Joanópolis";1;1;2
"352560 João Ramalho";2;-;2
"352570 José Bonifácio";2;1;3
"352580 Júlio Mesquita";1;-;1
"352590 Jundiaí";63;152;215
"352600 Junqueirópolis";4;-;4
"352610 Juquiá";2;1;3
"352620 Juquitiba";1;-;1
"352630 Lagoinha";1;-;1
"352640 Laranjal Paulista";4;3;7
"352650 Lavínia";5;-;5
"352660 Lavrinhas";1;-;1
"352670 Leme";11;5;16
"352680 Lençóis Paulista";9;3;12
"352690 Limeira";49;18;67
"352700 Lindóia";1;-;1
"352710 Lins";18;15;33
"352720 Lorena";11;9;20
"352730 Louveira";6;1;7
"352740 Lucélia";4;-;4
"352750 Lucianópolis";1;-;1
"352760 Luís Antônio";3;-;3
"352790 Lutécia";1;-;1
"352800 Macatuba";4;1;5
"352810 Macaubal";1;-;1
"352820 Macedônia";1;-;1
"352830 Magda";1;-;1
"352840 Mairinque";4;1;5
"352850 Mairiporã";10;3;13
"352870 Marabá Paulista";1;-;1
"352880 Maracaí";7;-;7
"352900 Marília";61;31;92
"352910 Marinópolis";1;-;1
"352920 Martinópolis";15;-;15
"352930 Matão";18;8;26
"352940 Mauá";45;14;59
"352950 Mendonça";1;-;1
"352960 Meridiano";1;-;1
"352965 Mesópolis";2;-;2
"352970 Miguelópolis";8;-;8
"352980 Mineiros do Tietê";2;-;2
"353000 Mira Estrela";1;-;1
"352990 Miracatu";2;-;2
"353010 Mirandópolis";5;2;7
"353020 Mirante do Paranapanema";2;-;2
"353030 Mirassol";14;3;17
"353040 Mirassolândia";1;-;1
"353050 Mococa";12;14;26
"353060 Mogi das Cruzes";26;22;48
"353070 Mogi Guaçu";18;13;31
"353080 Mogi Mirim";25;8;33
"353090 Mombuca";1;-;1
"353100 Monções";1;-;1
"353110 Mongaguá";8;-;8
"353120 Monte Alegre do Sul";1;2;3
"353130 Monte Alto";10;20;30
"353140 Monte Aprazível";2;-;2
"353150 Monte Azul Paulista";2;3;5
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";4;-;4
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";3;5;8
"353200 Morungaba";1;-;1
"353215 Nantes";2;-;2
"353220 Narandiba";1;-;1
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";2;2;4
"353250 Neves Paulista";1;-;1
"353260 Nhandeara";5;1;6
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353282 Nova Campina";1;-;1
"353286 Nova Castilho";1;-;1
"353290 Nova Europa";2;-;2
"353300 Nova Granada";4;1;5
"353310 Nova Guataporanga";1;-;1
"353320 Nova Independência";1;-;1
"353330 Nova Luzitânia";1;-;1
"353340 Nova Odessa";3;3;6
"353325 Novais";1;-;1
"353350 Novo Horizonte";6;4;10
"353380 Óleo";1;-;1
"353390 Olímpia";6;3;9
"353400 Onda Verde";2;-;2
"353410 Oriente";-;2;2
"353420 Orindiúva";4;-;4
"353430 Orlândia";5;8;13
"353440 Osasco";51;66;117
"353450 Oscar Bressane";1;-;1
"353460 Osvaldo Cruz";6;2;8
"353470 Ourinhos";22;22;44
"353480 Ouro Verde";1;-;1
"353475 Ouroeste";2;-;2
"353490 Pacaembu";2;1;3
"353500 Palestina";2;1;3
"353520 Palmeira d'Oeste";1;-;1
"353530 Palmital";7;-;7
"353540 Panorama";1;1;2
"353550 Paraguaçu Paulista";13;3;16
"353560 Paraibuna";3;-;3
"353570 Paraíso";1;-;1
"353580 Paranapanema";1;-;1
"353590 Paranapuã";1;-;1
"353600 Parapuã";2;-;2
"353610 Pardinho";1;-;1
"353620 Pariquera-Açu";3;-;3
"353625 Parisi";1;-;1
"353630 Patrocínio Paulista";2;-;2
"353640 Paulicéia";1;-;1
"353650 Paulínia";17;10;27
"353670 Pederneiras";6;-;6
"353680 Pedra Bela";1;-;1
"353690 Pedranópolis";1;-;1
"353700 Pedregulho";1;-;1
"353710 Pedreira";6;9;15
"353715 Pedrinhas Paulista";2;-;2
"353720 Pedro de Toledo";1;-;1
"353730 Penápolis";12;7;19
"353740 Pereira Barreto";2;3;5
"353750 Pereiras";1;-;1
"353760 Peruíbe";5;7;12
"353770 Piacatu";1;-;1
"353780 Piedade";5;7;12
"353790 Pilar do Sul";5;-;5
"353800 Pindamonhangaba";9;12;21
"353810 Pindorama";3;-;3
"353820 Pinhalzinho";2;-;2
"353850 Piquete";1;-;1
"353860 Piracaia";4;-;4
"353870 Piracicaba";34;57;91
"353880 Piraju";3;2;5
"353890 Pirajuí";6;2;8
"353900 Pirangi";1;-;1
