"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"353970 Platina";-;-;1;-;1
"353980 Poá";-;-;15;13;28
"353990 Poloni";-;-;3;1;4
"354000 Pompéia";-;-;9;32;41
"354010 Pongaí";-;-;1;-;1
"354020 Pontal";-;-;11;20;31
"354025 Pontalinda";-;-;1;-;1
"354030 Pontes Gestal";-;-;2;-;2
"354040 Populina";-;-;2;1;3
"354050 Porangaba";-;-;3;2;5
"354060 Porto Feliz";-;-;9;33;42
"354070 Porto Ferreira";-;-;12;58;70
"354075 Potim";-;-;4;-;4
"354080 Potirendaba";-;-;7;8;15
"354085 Pracinha";-;1;1;-;2
"354090 Pradópolis";-;-;6;6;12
"354100 Praia Grande";-;-;37;57;94
"354105 Pratânia";-;-;2;2;4
"354110 Presidente Alves";-;-;2;-;2
"354120 Presidente Bernardes";-;-;7;8;15
"354130 Presidente Epitácio";-;-;11;15;26
"354140 Presidente Prudente";-;9;33;341;383
"354150 Presidente Venceslau";-;-;12;35;47
"354160 Promissão";-;1;15;9;25
"354165 Quadra";-;-;1;-;1
"354170 Quatá";-;-;5;3;8
"354180 Queiroz";-;-;1;-;1
"354190 Queluz";-;-;3;-;3
"354200 Quintana";-;-;4;-;4
"354210 Rafard";-;-;3;-;3
"354220 Rancharia";-;-;9;21;30
"354230 Redenção da Serra";-;-;2;-;2
"354240 Regente Feijó";-;-;7;4;11
"354250 Reginópolis";-;2;1;-;3
"354260 Registro";-;2;15;55;72
"354270 Restinga";-;-;3;-;3
"354280 Ribeira";-;-;4;-;4
"354290 Ribeirão Bonito";-;-;5;9;14
"354300 Ribeirão Branco";-;-;10;1;11
"354310 Ribeirão Corrente";-;-;2;-;2
"354320 Ribeirão do Sul";-;-;1;-;1
"354323 Ribeirão dos Índios";-;-;1;-;1
"354325 Ribeirão Grande";-;-;4;-;4
"354330 Ribeirão Pires";-;-;18;55;73
"354340 Ribeirão Preto";-;15;60;485;560
"354360 Rifaina";-;-;1;-;1
"354370 Rincão";-;-;4;-;4
"354380 Rinópolis";-;-;3;1;4
"354390 Rio Claro";-;3;25;180;208
"354400 Rio das Pedras";-;-;6;55;61
"354410 Rio Grande da Serra";-;-;9;1;10
"354420 Riolândia";-;1;2;1;4
"354350 Riversul";-;-;4;1;5
"354425 Rosana";-;-;8;10;18
"354430 Roseira";-;-;1;-;1
"354440 Rubiácea";-;-;5;-;5
"354450 Rubinéia";-;-;2;-;2
"354460 Sabino";-;-;1;1;2
"354470 Sagres";-;-;1;-;1
"354480 Sales";-;-;1;-;1
"354490 Sales Oliveira";-;-;4;8;12
"354500 Salesópolis";-;-;5;2;7
"354510 Salmourão";-;-;1;-;1
"354515 Saltinho";-;-;1;-;1
"354520 Salto";-;-;20;32;52
"354530 Salto de Pirapora";-;-;11;14;25
"354540 Salto Grande";-;-;2;1;3
"354550 Sandovalina";-;-;2;-;2
"354560 Santa Adélia";-;-;5;5;10
"354570 Santa Albertina";-;-;2;4;6
"354580 Santa Bárbara d'Oeste";-;1;17;56;74
"354600 Santa Branca";-;-;9;4;13
"354610 Santa Clara d'Oeste";-;-;2;-;2
"354620 Santa Cruz da Conceição";-;-;4;-;4
"354625 Santa Cruz da Esperança";-;-;1;-;1
"354630 Santa Cruz das Palmeiras";-;-;4;46;50
"354640 Santa Cruz do Rio Pardo";-;-;13;19;32
"354650 Santa Ernestina";-;-;1;-;1
"354660 Santa Fé do Sul";-;1;11;46;58
"354670 Santa Gertrudes";-;-;6;25;31
"354680 Santa Isabel";-;-;15;6;21
"354690 Santa Lúcia";-;-;3;-;3
"354700 Santa Maria da Serra";-;-;2;3;5
"354710 Santa Mercedes";-;-;2;-;2
"354740 Santa Rita d'Oeste";-;-;1;-;1
"354750 Santa Rita do Passa Quatro";-;2;8;28;38
"354760 Santa Rosa de Viterbo";-;-;5;17;22
"354765 Santa Salete";-;-;1;-;1
"354720 Santana da Ponte Pensa";-;-;1;-;1
"354730 Santana de Parnaíba";-;-;17;4;21
"354770 Santo Anastácio";-;-;7;16;23
"354780 Santo André";-;6;60;470;536
"354790 Santo Antônio da Alegria";-;-;4;-;4
"354800 Santo Antônio de Posse";-;-;8;1;9
"354805 Santo Antônio do Aracanguá";-;-;3;-;3
"354810 Santo Antônio do Jardim";-;-;1;-;1
"354820 Santo Antônio do Pinhal";-;-;6;-;6
"354830 Santo Expedito";-;-;1;-;1
"354840 Santópolis do Aguapeí";-;-;1;-;1
"354850 Santos";-;7;65;1069;1141
"354860 São Bento do Sapucaí";-;-;7;3;10
"354870 São Bernardo do Campo";-;-;50;366;416
"354880 São Caetano do Sul";-;1;26;326;353
"354890 São Carlos";1;1;30;192;224
"354900 São Francisco";-;-;1;-;1
"354910 São João da Boa Vista";-;6;20;203;229
"354920 São João das Duas Pontes";-;-;1;-;1
"354925 São João de Iracema";-;-;2;-;2
"354930 São João do Pau d'Alho";-;-;1;1;2
"354940 São Joaquim da Barra";-;2;11;71;84
"354950 São José da Bela Vista";-;-;3;4;7
"354960 São José do Barreiro";-;-;4;-;4
"354970 São José do Rio Pardo";-;-;15;54;69
"354980 São José do Rio Preto";-;8;52;393;453
"354990 São José dos Campos";-;6;69;752;827
"354995 São Lourenço da Serra";-;-;3;-;3
"355000 São Luís do Paraitinga";-;-;4;3;7
"355010 São Manuel";-;-;9;28;37
"355020 São Miguel Arcanjo";-;-;11;23;34
"355030 São Paulo";5;105;662;6807;7579
"355040 São Pedro";-;-;6;31;37
"355050 São Pedro do Turvo";-;-;3;-;3
"355060 São Roque";-;-;14;87;101
"355070 São Sebastião";-;-;32;90;122
"355080 São Sebastião da Grama";-;-;8;11;19
"355090 São Simão";-;-;6;24;30
"355100 São Vicente";-;-;47;127;174
"355110 Sarapuí";-;-;4;1;5
"355120 Sarutaiá";-;-;1;-;1
"355130 Sebastianópolis do Sul";-;-;1;-;1
"355140 Serra Azul";-;2;2;1;5
"355160 Serra Negra";-;-;10;17;27
"355150 Serrana";-;-;10;3;13
"355170 Sertãozinho";-;-;13;45;58
"355180 Sete Barras";-;-;7;-;7
"355190 Severínia";-;-;4;2;6
"355200 Silveiras";-;-;4;-;4
"355210 Socorro";-;-;14;10;24
"355220 Sorocaba";-;10;53;281;344
"355230 Sud Mennucci";-;-;6;1;7
"355240 Sumaré";-;2;23;57;82
"355255 Suzanápolis";-;-;1;-;1
"355250 Suzano";-;3;25;79;107
"355260 Tabapuã";-;-;4;6;10
"355270 Tabatinga";-;-;6;19;25
"355280 Taboão da Serra";-;1;23;38;62
"355290 Taciba";-;-;4;-;4
"355300 Taguaí";-;-;2;7;9
"355310 Taiaçu";-;-;1;5;6
"355320 Taiúva";-;-;3;6;9
"355330 Tambaú";-;-;7;26;33
"355340 Tanabi";-;-;8;14;22
"355350 Tapiraí";-;-;2;-;2
"355360 Tapiratiba";-;-;5;5;10
"355365 Taquaral";-;-;1;-;1
"355370 Taquaritinga";-;-;17;55;72
"355380 Taquarituba";-;-;6;4;10
"355385 Taquarivaí";-;-;3;-;3
"355390 Tarabai";-;-;1;-;1
"355395 Tarumã";-;-;10;1;11
"355400 Tatuí";-;-;24;185;209
"355410 Taubaté";-;7;72;340;419
"355420 Tejupá";-;-;3;-;3
"355430 Teodoro Sampaio";-;-;11;8;19
"355440 Terra Roxa";-;-;4;5;9
"355450 Tietê";-;-;12;55;67
"355460 Timburi";-;-;1;-;1
"355465 Torre de Pedra";-;-;1;-;1
"355470 Torrinha";-;-;2;1;3
"355475 Trabiju";-;-;1;-;1
"355480 Tremembé";-;-;8;8;16
"355490 Três Fronteiras";-;-;3;-;3
"355495 Tuiuti";-;-;2;-;2
"355500 Tupã";-;-;17;67;84
"355510 Tupi Paulista";-;-;7;6;13
"355520 Turiúba";-;-;3;-;3
"355530 Turmalina";-;-;2;-;2
"355535 Ubarana";-;-;1;-;1
"355540 Ubatuba";-;-;26;17;43
"355550 Ubirajara";-;-;1;-;1
"355560 Uchoa";-;-;3;5;8
"355570 União Paulista";-;-;2;-;2
"355580 Urânia";-;-;2;2;4
"355590 Uru";-;-;1;-;1
"355600 Urupês";-;-;4;3;7
"355610 Valentim Gentil";-;-;2;2;4
"355620 Valinhos";-;-;21;154;175
"355630 Valparaíso";-;2;3;1;6
"355635 Vargem";-;-;1;-;1
"355640 Vargem Grande do Sul";-;-;9;13;22
"355645 Vargem Grande Paulista";-;-;8;3;11
"355650 Várzea Paulista";-;-;17;9;26
"355660 Vera Cruz";-;-;3;1;4
"355670 Vinhedo";-;-;10;158;168
"355680 Viradouro";-;-;8;15;23
"355690 Vista Alegre do Alto";-;-;3;3;6
"355695 Vitória Brasil";-;-;1;-;1
"355700 Votorantim";-;-;27;27;54
"355710 Votuporanga";-;2;15;114;131
"355715 Zacarias";-;-;1;-;1
"Total";9;439;6276;26584;33308
&
"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"350010 Adamantina";-;1;6;25;32
"350020 Adolfo";-;-;1;-;1
"350030 Aguaí";-;-;12;15;27
"350040 Águas da Prata";-;-;3;1;4
"350050 Águas de Lindóia";-;-;8;8;16
"350055 Águas de Santa Bárbara";-;-;2;4;6
"350060 Águas de São Pedro";-;-;3;-;3
"350070 Agudos";-;-;7;4;11
"350075 Alambari";-;-;7;-;7
"350080 Alfredo Marcondes";-;-;1;-;1
"350090 Altair";-;-;3;-;3
"350100 Altinópolis";-;-;11;10;21
"350110 Alto Alegre";-;-;5;-;5
"350115 Alumínio";-;-;5;1;6
"350120 Álvares Florence";-;-;2;-;2
"350130 Álvares Machado";-;-;7;5;12
"350140 Álvaro de Carvalho";-;1;1;-;2
"350150 Alvinlândia";-;-;1;-;1
"350160 Americana";-;2;29;348;379
"350170 Américo Brasiliense";-;1;2;1;4
"350180 Américo de Campos";-;-;2;-;2
"350190 Amparo";-;-;20;123;143
"350200 Analândia";-;-;1;-;1
"350210 Andradina";-;3;12;7;22
"350220 Angatuba";-;-;15;2;17
"350230 Anhembi";-;-;2;1;3
"350240 Anhumas";-;-;2;-;2
"350250 Aparecida";-;-;9;3;12
"350260 Aparecida d'Oeste";-;-;1;2;3
"350270 Apiaí";-;-;17;4;21
"350275 Araçariguama";-;-;1;-;1
"350280 Araçatuba";-;10;50;87;147
"350290 Araçoiaba da Serra";-;-;7;1;8
"350300 Aramina";-;-;3;-;3
"350310 Arandu";-;-;3;1;4
"350315 Arapeí";-;-;1;1;2
"350320 Araraquara";-;11;55;123;189
"350330 Araras";-;-;29;148;177
"350335 Arco-Íris";-;-;1;-;1
"350340 Arealva";-;-;4;1;5
"350350 Areias";-;-;1;-;1
"350360 Areiópolis";-;-;5;8;13
"350370 Ariranha";-;-;2;2;4
"350380 Artur Nogueira";-;-;13;6;19
"350390 Arujá";-;-;8;11;19
"350395 Aspásia";-;-;1;-;1
"350400 Assis";-;4;26;63;93
"350410 Atibaia";-;-;23;187;210
"350420 Auriflama";-;-;3;3;6
"350430 Avaí";-;-;1;-;1
"350440 Avanhandava";-;1;8;1;10
"350450 Avaré";-;7;15;15;37
"350460 Bady Bassitt";-;-;2;3;5
"350470 Balbinos";-;-;1;-;1
"350480 Bálsamo";-;-;2;-;2
"350490 Bananal";-;-;6;1;7
"350500 Barão de Antonina";-;-;3;-;3
"350510 Barbosa";-;-;1;-;1
"350520 Bariri";-;-;5;18;23
"350530 Barra Bonita";-;-;5;16;21
"350535 Barra do Chapéu";-;-;3;-;3
"350540 Barra do Turvo";-;-;5;-;5
"350550 Barretos";-;3;21;74;98
"350560 Barrinha";-;-;6;1;7
"350570 Barueri";-;-;26;56;82
"350580 Bastos";-;-;5;7;12
"350590 Batatais";-;1;12;139;152
"350600 Bauru";-;16;37;161;214
"350610 Bebedouro";-;-;23;32;55
"350620 Bento de Abreu";-;-;5;-;5
"350630 Bernardino de Campos";-;-;4;1;5
"350635 Bertioga";-;-;8;4;12
"350640 Bilac";-;-;1;3;4
"350650 Birigui";-;1;19;13;33
"350660 Biritiba-Mirim";-;-;8;3;11
"350670 Boa Esperança do Sul";-;-;5;1;6
"350680 Bocaina";-;-;3;3;6
"350690 Bofete";-;-;1;-;1
"350700 Boituva";-;-;6;24;30
"350710 Bom Jesus dos Perdões";-;-;4;3;7
"350715 Bom Sucesso de Itararé";-;-;2;-;2
"350720 Borá";-;-;1;-;1
"350730 Boracéia";-;-;1;-;1
"350740 Borborema";-;-;7;8;15
"350745 Borebi";-;-;1;-;1
"350750 Botucatu";-;14;23;105;142
"350760 Bragança Paulista";-;3;32;71;106
"350770 Braúna";-;-;6;-;6
"350775 Brejo Alegre";-;-;3;-;3
"350780 Brodowski";-;-;7;2;9
"350790 Brotas";-;-;6;4;10
"350800 Buri";-;-;9;4;13
"350810 Buritama";-;-;10;4;14
"350820 Buritizal";-;-;2;1;3
"350830 Cabrália Paulista";-;-;1;-;1
"350840 Cabreúva";-;-;8;2;10
"350850 Caçapava";-;-;9;117;126
"350860 Cachoeira Paulista";-;-;12;11;23
"350870 Caconde";-;-;3;3;6
"350880 Cafelândia";-;-;3;5;8
"350890 Caiabu";-;-;2;-;2
"350900 Caieiras";-;-;17;12;29
"350910 Caiuá";-;-;4;-;4
"350920 Cajamar";-;-;13;7;20
"350925 Cajati";-;-;8;3;11
"350930 Cajobi";-;-;4;3;7
"350940 Cajuru";-;-;17;13;30
"350945 Campina do Monte Alegre";-;-;3;-;3
"350950 Campinas";-;14;82;367;463
"350960 Campo Limpo Paulista";-;-;12;16;28
"350970 Campos do Jordão";-;-;15;12;27
"350980 Campos Novos Paulista";-;-;1;-;1
"350990 Cananéia";-;-;4;-;4
"350995 Canas";-;-;1;-;1
"351000 Cândido Mota";-;-;10;29;39
"351010 Cândido Rodrigues";-;-;1;-;1
"351015 Canitar";-;-;2;-;2
"351020 Capão Bonito";-;-;17;6;23
"351030 Capela do Alto";-;-;4;-;4
"351040 Capivari";-;-;9;78;87
"351050 Caraguatatuba";-;1;32;38;71
"351060 Carapicuíba";-;1;21;18;40
"351070 Cardoso";-;-;3;6;9
"351080 Casa Branca";-;6;7;29;42
"351090 Cássia dos Coqueiros";-;-;3;-;3
"351100 Castilho";-;-;2;2;4
"351110 Catanduva";-;-;33;177;210
"351120 Catiguá";-;-;2;-;2
"351130 Cedral";-;-;2;1;3
"351140 Cerqueira César";-;-;5;3;8
"351150 Cerquilho";-;-;12;67;79
"351160 Cesário Lange";-;-;4;2;6
"351170 Charqueada";-;-;5;2;7
"355720 Chavantes";-;-;3;3;6
"351190 Clementina";-;-;4;2;6
"351200 Colina";-;-;8;31;39
"351210 Colômbia";-;-;5;2;7
"351220 Conchal";-;-;6;20;26
"351230 Conchas";-;-;9;24;33
"351240 Cordeirópolis";-;-;5;2;7
"351250 Coroados";-;-;2;-;2
"351260 Coronel Macedo";-;-;3;-;3
"351270 Corumbataí";-;-;1;-;1
"351280 Cosmópolis";-;-;14;14;28
"351290 Cosmorama";-;-;3;1;4
"351300 Cotia";-;-;30;19;49
"351310 Cravinhos";-;-;5;14;19
"351320 Cristais Paulista";-;-;3;-;3
"351330 Cruzália";-;-;3;-;3
"351340 Cruzeiro";-;-;29;85;114
"351350 Cubatão";-;-;27;60;87
"351360 Cunha";-;-;5;2;7
"351370 Descalvado";-;-;10;2;12
"351380 Diadema";-;2;31;61;94
"351385 Dirce Reis";-;-;1;-;1
"351390 Divinolândia";-;-;4;15;19
"351400 Dobrada";-;-;1;-;1
"351410 Dois Córregos";-;-;7;14;21
"351420 Dolcinópolis";-;-;2;-;2
"351430 Dourado";-;-;4;-;4
"351440 Dracena";-;-;11;45;56
"351450 Duartina";-;-;4;5;9
"351460 Dumont";-;-;1;-;1
"351470 Echaporã";-;-;3;-;3
"351480 Eldorado";-;-;6;-;6
"351490 Elias Fausto";-;-;2;2;4
"351492 Elisiário";-;-;1;-;1
"351495 Embaúba";-;-;1;-;1
"351500 Embu das Artes";-;-;18;2;20
"351510 Embu-Guaçu";-;-;8;2;10
"351512 Emilianópolis";-;-;1;-;1
"351515 Engenheiro Coelho";-;-;5;-;5
"351518 Espírito Santo do Pinhal";-;-;10;85;95
"351519 Espírito Santo do Turvo";-;-;3;-;3
"355730 Estiva Gerbi";-;-;2;2;4
"351520 Estrela d'Oeste";-;-;1;4;5
"351530 Estrela do Norte";-;-;1;-;1
"351535 Euclides da Cunha Paulista";-;-;5;1;6
"351540 Fartura";-;-;4;23;27
"351560 Fernando Prestes";-;-;2;2;4
"351550 Fernandópolis";-;2;16;117;135
"351565 Fernão";-;-;1;-;1
"351570 Ferraz de Vasconcelos";-;1;14;8;23
"351580 Flora Rica";-;-;1;-;1
"351590 Floreal";-;-;2;-;2
"351600 Flórida Paulista";-;1;3;2;6
"351610 Florínia";-;-;2;-;2
"351620 Franca";-;8;35;114;157
"351630 Francisco Morato";-;1;18;3;22
"351640 Franco da Rocha";-;10;18;7;35
"351650 Gabriel Monteiro";-;-;2;-;2
"351660 Gália";-;-;2;3;5
"351670 Garça";-;-;12;12;24
"351680 Gastão Vidigal";-;-;1;-;1
"351685 Gavião Peixoto";-;-;2;-;2
"351690 General Salgado";-;-;4;8;12
"351700 Getulina";-;1;2;1;4
"351710 Glicério";-;-;5;-;5
"351720 Guaiçara";-;-;5;1;6
"351730 Guaimbê";-;-;2;1;3
"351740 Guaíra";-;-;11;12;23
"351750 Guapiaçu";-;-;4;5;9
"351760 Guapiara";-;-;8;1;9
"351770 Guará";-;-;7;11;18
"351780 Guaraçaí";-;-;3;1;4
"351790 Guaraci";-;-;5;-;5
"351800 Guarani d'Oeste";-;-;1;-;1
"351810 Guarantã";-;-;1;1;2
"351820 Guararapes";-;-;9;4;13
"351830 Guararema";-;1;2;2;5
"351840 Guaratinguetá";1;1;19;56;77
"351850 Guareí";-;-;6;-;6
"351860 Guariba";-;-;7;7;14
"351870 Guarujá";-;-;31;84;115
"351880 Guarulhos";-;4;94;235;333
"351885 Guatapará";-;-;2;-;2
"351890 Guzolândia";-;-;4;-;4
"351900 Herculândia";-;-;4;1;5
"351905 Holambra";-;-;4;-;4
"351907 Hortolândia";-;4;27;9;40
"351910 Iacanga";-;-;3;2;5
"351920 Iacri";-;-;2;1;3
"351925 Iaras";-;1;2;-;3
"351930 Ibaté";-;-;9;1;10
"351940 Ibirá";-;-;4;2;6
"351950 Ibirarema";-;-;2;-;2
"351960 Ibitinga";-;-;10;66;76
"351970 Ibiúna";-;-;16;11;27
"351980 Icém";-;-;5;1;6
"351990 Iepê";-;-;5;2;7
"352000 Igaraçu do Tietê";-;-;4;1;5
"352010 Igarapava";-;-;6;23;29
"352020 Igaratá";-;-;6;1;7
"352030 Iguape";-;-;6;2;8
"352042 Ilha Comprida";-;-;5;-;5
"352044 Ilha Solteira";-;-;9;32;41
"352040 Ilhabela";-;-;10;3;13
"352050 Indaiatuba";-;1;25;85;111
"352060 Indiana";-;-;3;-;3
"352070 Indiaporã";-;-;2;1;3
"352080 Inúbia Paulista";-;-;1;-;1
"352090 Ipaussu";-;-;2;4;6
"352100 Iperó";-;1;6;-;7
"352110 Ipeúna";-;-;2;-;2
"352115 Ipiguá";-;-;1;-;1
"352120 Iporanga";-;-;2;-;2
"352130 Ipuã";-;-;9;14;23
"352140 Iracemápolis";-;-;7;2;9
"352150 Irapuã";-;-;2;-;2
"352160 Irapuru";-;-;3;1;4
"352170 Itaberá";-;-;11;2;13
"352180 Itaí";-;1;5;22;28
"352190 Itajobi";-;-;2;3;5
"352200 Itaju";-;-;1;-;1
"352210 Itanhaém";-;-;20;13;33
"352215 Itaóca";-;-;2;-;2
"352220 Itapecerica da Serra";-;3;15;10;28
"352230 Itapetininga";-;10;30;45;85
"352240 Itapeva";-;3;35;30;68
"352250 Itapevi";-;1;19;16;36
"352260 Itapira";-;-;20;100;120
"352265 Itapirapuã Paulista";-;-;4;-;4
"352270 Itápolis";-;-;11;25;36
"352280 Itaporanga";-;-;2;3;5
"352290 Itapuí";-;-;2;1;3
"352300 Itapura";-;-;2;-;2
"352310 Itaquaquecetuba";-;1;20;6;27
"352320 Itararé";-;-;20;25;45
"352330 Itariri";-;-;6;1;7
"352340 Itatiba";-;-;20;38;58
"352350 Itatinga";-;-;2;9;11
"352360 Itirapina";-;2;2;15;19
"352370 Itirapuã";-;-;1;-;1
"352380 Itobi";-;-;2;-;2
"352390 Itu";-;3;39;76;118
"352400 Itupeva";-;-;14;16;30
"352410 Ituverava";-;-;13;74;87
"352420 Jaborandi";-;-;2;-;2
"352430 Jaboticabal";-;-;14;33;47
"352440 Jacareí";-;-;27;198;225
"352450 Jaci";-;-;1;6;7
"352460 Jacupiranga";-;-;7;2;9
"352470 Jaguariúna";-;-;9;13;22
"352480 Jales";-;5;12;49;66
"352490 Jambeiro";-;-;2;1;3
"352500 Jandira";-;-;14;3;17
"352510 Jardinópolis";-;-;17;5;22
"352520 Jarinu";-;-;5;2;7
"352530 Jaú";-;5;23;104;132
"352540 Jeriquara";-;-;1;-;1
"352550 Joanópolis";-;-;2;-;2
"352560 João Ramalho";-;-;1;-;1
"352570 José Bonifácio";-;-;10;13;23
"352580 Júlio Mesquita";-;-;1;-;1
"352585 Jumirim";-;-;2;-;2
"352590 Jundiaí";-;1;59;405;465
"352600 Junqueirópolis";-;-;6;4;10
"352610 Juquiá";-;-;9;-;9
"352620 Juquitiba";-;-;8;-;8
"352630 Lagoinha";-;-;3;-;3
"352640 Laranjal Paulista";-;-;12;18;30
"352650 Lavínia";-;1;7;-;8
"352660 Lavrinhas";-;-;4;-;4
"352670 Leme";-;-;28;68;96
"352680 Lençóis Paulista";-;-;12;65;77
"352690 Limeira";-;3;31;261;295
"352700 Lindóia";-;-;3;3;6
"352710 Lins";-;1;22;165;188
"352720 Lorena";-;-;18;105;123
"352725 Lourdes";-;-;3;-;3
"352730 Louveira";-;-;4;4;8
"352740 Lucélia";-;1;2;6;9
"352750 Lucianópolis";-;-;1;-;1
"352760 Luís Antônio";-;-;3;4;7
"352770 Luiziânia";-;-;4;1;5
"352780 Lupércio";-;-;2;-;2
"352790 Lutécia";-;-;1;-;1
"352800 Macatuba";-;-;5;4;9
"352810 Macaubal";-;-;2;4;6
"352820 Macedônia";-;-;1;-;1
"352830 Magda";-;-;1;-;1
"352840 Mairinque";-;-;21;6;27
"352850 Mairiporã";-;-;11;6;17
"352860 Manduri";-;-;4;7;11
"352870 Marabá Paulista";-;-;3;-;3
"352880 Maracaí";-;-;7;2;9
"352885 Marapoama";-;-;1;-;1
"352890 Mariápolis";-;-;1;-;1
"352900 Marília";-;3;58;186;247
"352910 Marinópolis";-;-;1;-;1
"352920 Martinópolis";-;-;9;9;18
"352930 Matão";-;1;16;28;45
"352940 Mauá";-;1;36;116;153
"352950 Mendonça";-;-;1;-;1
"352960 Meridiano";-;-;2;-;2
"352965 Mesópolis";-;-;1;-;1
"352970 Miguelópolis";-;-;5;11;16
"352980 Mineiros do Tietê";-;-;3;1;4
"353000 Mira Estrela";-;-;1;-;1
"352990 Miracatu";-;-;7;2;9
"353010 Mirandópolis";-;3;16;7;26
"353020 Mirante do Paranapanema";-;-;9;4;13
"353030 Mirassol";-;-;8;28;36
"353040 Mirassolândia";-;-;1;-;1
"353050 Mococa";-;1;22;94;117
"353060 Mogi das Cruzes";-;9;37;133;179
"353070 Mogi Guaçu";-;-;24;117;141
"353080 Mogi Mirim";-;1;15;24;40
"353090 Mombuca";-;-;1;-;1
"353100 Monções";-;-;2;1;3
"353110 Mongaguá";-;1;13;6;20
"353120 Monte Alegre do Sul";-;-;5;-;5
"353130 Monte Alto";-;-;12;108;120
"353140 Monte Aprazível";-;-;9;13;22
"353150 Monte Azul Paulista";-;-;4;14;18
"353160 Monte Castelo";-;-;1;-;1
"353180 Monte Mor";-;-;11;8;19
"353170 Monteiro Lobato";-;-;3;-;3
"353190 Morro Agudo";-;-;10;28;38
"353200 Morungaba";-;-;5;4;9
"353205 Motuca";-;-;3;-;3
"353210 Murutinga do Sul";-;-;3;1;4
"353215 Nantes";-;-;2;-;2
"353220 Narandiba";-;-;2;-;2
"353230 Natividade da Serra";-;-;2;-;2
"353240 Nazaré Paulista";-;-;2;2;4
"353250 Neves Paulista";-;-;3;4;7
"353260 Nhandeara";-;-;5;12;17
"353270 Nipoã";-;-;1;-;1
"353280 Nova Aliança";-;-;2;-;2
"353282 Nova Campina";-;-;3;-;3
"353284 Nova Canaã Paulista";-;-;2;-;2
"353286 Nova Castilho";-;-;1;-;1
"353290 Nova Europa";-;-;4;1;5
"353300 Nova Granada";-;-;4;5;9
"353310 Nova Guataporanga";-;-;1;-;1
"353320 Nova Independência";-;-;2;-;2
"353330 Nova Luzitânia";-;-;1;-;1
"353340 Nova Odessa";-;-;9;21;30
"353325 Novais";-;-;1;-;1
"353350 Novo Horizonte";-;-;7;28;35
"353360 Nuporanga";-;-;5;9;14
"353370 Ocauçu";-;-;2;-;2
"353380 Óleo";-;-;3;-;3
"353390 Olímpia";-;1;13;32;46
"353400 Onda Verde";-;-;3;-;3
"353410 Oriente";-;-;2;-;2
"353420 Orindiúva";-;-;1;1;2
"353430 Orlândia";-;2;11;62;75
"353440 Osasco";-;9;50;118;177
"353450 Oscar Bressane";-;-;1;-;1
"353460 Osvaldo Cruz";-;2;5;20;27
"353470 Ourinhos";-;-;23;149;172
"353480 Ouro Verde";-;-;3;-;3
"353475 Ouroeste";-;-;3;-;3
"353490 Pacaembu";-;2;4;7;13
"353500 Palestina";-;-;2;3;5
"353510 Palmares Paulista";-;-;2;2;4
"353520 Palmeira d'Oeste";-;-;4;2;6
"353530 Palmital";-;-;7;7;14
"353540 Panorama";-;-;2;1;3
"353550 Paraguaçu Paulista";-;1;14;28;43
"353560 Paraibuna";-;-;9;2;11
"353570 Paraíso";-;-;1;1;2
"353580 Paranapanema";-;-;4;2;6
"353590 Paranapuã";-;-;1;1;2
"353600 Parapuã";-;-;3;1;4
"353610 Pardinho";-;-;2;1;3
"353620 Pariquera-Açu";-;-;8;1;9
"353625 Parisi";-;-;1;-;1
"353630 Patrocínio Paulista";-;-;6;2;8
"353640 Paulicéia";-;-;2;-;2
"353650 Paulínia";-;-;19;24;43
"353657 Paulistânia";-;-;1;-;1
"353660 Paulo de Faria";-;-;1;2;3
"353670 Pederneiras";-;-;9;8;17
"353680 Pedra Bela";-;-;2;-;2
"353690 Pedranópolis";-;-;3;-;3
"353700 Pedregulho";-;-;7;6;13
"353710 Pedreira";-;-;8;9;17
"353715 Pedrinhas Paulista";-;-;3;4;7
"353720 Pedro de Toledo";-;-;5;-;5
"353730 Penápolis";-;-;17;73;90
"353740 Pereira Barreto";-;-;11;3;14
"353750 Pereiras";-;-;5;1;6
"353760 Peruíbe";-;-;12;7;19
"353770 Piacatu";-;-;3;-;3
"353780 Piedade";-;-;13;4;17
"353790 Pilar do Sul";-;-;6;2;8
"353800 Pindamonhangaba";-;-;25;145;170
"353810 Pindorama";-;-;5;-;5
"353820 Pinhalzinho";-;-;3;2;5
"353830 Piquerobi";-;-;1;-;1
"353850 Piquete";-;-;3;2;5
"353860 Piracaia";-;-;2;4;6
"353870 Piracicaba";-;8;66;168;242
"353880 Piraju";-;1;10;14;25
"353890 Pirajuí";-;2;6;6;14
"353900 Pirangi";-;-;3;6;9
"353910 Pirapora do Bom Jesus";-;-;6;1;7
"353920 Pirapozinho";-;-;9;10;19
"353930 Pirassununga";1;-;23;27;51
"353940 Piratininga";-;-;2;1;3
"353950 Pitangueiras";-;-;9;8;17
"353960 Planalto";-;-;1;-;1
"353970 Platina";-;-;1;-;1
"353980 Poá";-;-;15;9;24
"353990 Poloni";-;-;3;1;4
"354000 Pompéia";-;-;7;23;30
"354010 Pongaí";-;-;1;-;1
"354020 Pontal";-;-;10;18;28
"354025 Pontalinda";-;-;1;-;1
"354030 Pontes Gestal";-;-;2;-;2
