"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"352670 Leme";-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;33;-;4;2;-;-;27;8;-;7;6;-;-;-;-;1;-;4;-;125
"352680 Lençóis Paulista";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;1;-;35;-;8;2;-;-;1;1;-;7;-;-;1;-;-;-;-;5;-;81
"352690 Limeira";-;2;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;119;-;28;5;-;-;3;21;-;14;1;-;-;2;1;-;-;13;-;264
"352700 Lindóia";-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"352710 Lins";-;3;-;-;-;-;-;-;-;-;-;25;-;-;-;-;2;68;-;52;4;-;-;6;33;-;11;-;-;1;-;-;4;-;8;-;217
"352720 Lorena";-;1;-;-;-;-;-;-;1;-;-;29;-;-;-;3;-;36;-;5;3;-;-;-;15;-;2;-;-;-;-;-;-;-;4;-;99
"352725 Lourdes";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352730 Louveira";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;3;1;-;-;-;2;-;-;-;-;-;-;-;-;-;3;-;27
"352740 Lucélia";-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;5;-;-;-;-;4;-;-;-;-;-;-;-;-;-;2;-;26
"352750 Lucianópolis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352760 Luís Antônio";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;14
"352770 Luiziânia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352780 Lupércio";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352790 Lutécia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352800 Macatuba";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;19
"352810 Macaubal";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"352820 Macedônia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352830 Magda";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352840 Mairinque";-;1;-;-;-;-;-;-;-;-;-;23;-;-;-;-;1;9;-;3;-;-;-;3;2;-;1;-;-;-;-;-;-;-;-;-;43
"352850 Mairiporã";-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;1;8;-;1;-;-;-;-;6;-;-;-;-;-;-;-;-;-;7;-;48
"352860 Manduri";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"352870 Marabá Paulista";-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352880 Maracaí";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;14
"352885 Marapoama";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352890 Mariápolis";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352900 Marília";-;8;-;-;-;3;-;-;1;-;-;79;-;-;-;-;1;113;-;23;2;-;-;2;55;-;11;-;-;1;1;-;-;-;10;-;310
"352910 Marinópolis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352920 Martinópolis";-;1;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;4;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;26
"352930 Matão";-;1;-;-;-;-;-;-;-;-;-;29;-;-;-;-;1;23;-;12;2;-;-;43;14;-;2;17;-;-;-;-;-;-;1;-;145
"352940 Mauá";-;2;-;-;-;-;-;-;-;-;-;61;-;-;1;-;10;67;-;11;-;-;-;-;61;-;11;3;-;-;1;-;-;-;4;-;232
"352950 Mendonça";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"352960 Meridiano";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352965 Mesópolis";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;9;-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;4;-;25
"352980 Mineiros do Tietê";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"353000 Mira Estrela";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352990 Miracatu";1;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"353010 Mirandópolis";-;3;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;5;-;10;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;33
"353020 Mirante do Paranapanema";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;1;2;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;19
"353030 Mirassol";-;-;-;-;-;-;-;-;1;-;-;17;-;-;-;-;-;41;-;9;-;-;-;2;11;-;2;-;-;-;-;-;-;-;2;-;85
"353040 Mirassolândia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353050 Mococa";-;1;-;-;-;-;-;-;-;-;-;32;-;-;-;-;1;41;-;26;1;-;-;25;28;-;9;1;-;-;-;-;1;-;3;-;169
"353060 Mogi das Cruzes";-;6;-;-;-;-;-;-;-;-;-;66;-;-;-;2;2;104;-;20;-;-;-;2;68;-;10;3;-;-;-;-;1;-;13;-;297
"353070 Mogi Guaçu";-;1;-;-;-;-;-;-;-;-;-;36;-;-;-;1;-;17;-;3;1;-;-;68;16;-;2;8;-;-;1;-;-;-;3;-;157
"353080 Mogi Mirim";-;2;-;-;-;-;-;-;2;-;-;23;-;-;-;-;-;20;-;4;-;-;-;36;13;-;2;8;-;-;-;-;-;-;7;-;117
"353090 Mombuca";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353100 Monções";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353110 Mongaguá";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;7;-;-;1;-;-;-;3;-;3;-;-;-;-;-;-;-;2;-;39
"353120 Monte Alegre do Sul";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"353130 Monte Alto";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;18;-;9;3;-;-;23;12;-;11;1;-;-;-;-;-;-;2;-;101
"353140 Monte Aprazível";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;21;-;5;-;-;-;1;2;-;1;-;-;-;-;-;-;-;2;-;40
"353150 Monte Azul Paulista";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;-;-;-;-;-;3;4;-;-;4;-;-;-;-;-;-;4;-;27
"353160 Monte Castelo";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353180 Monte Mor";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;11;-;2;-;-;-;-;3;-;3;-;-;-;-;-;-;-;1;-;38
"353170 Monteiro Lobato";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353190 Morro Agudo";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;12;-;9;1;-;-;4;7;-;2;-;-;-;-;-;-;-;3;-;52
"353200 Morungaba";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;17
"353205 Motuca";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353210 Murutinga do Sul";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353215 Nantes";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353220 Narandiba";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353230 Natividade da Serra";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"353240 Nazaré Paulista";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"353250 Neves Paulista";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"353260 Nhandeara";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;11;-;4;-;-;-;3;2;-;-;-;-;-;-;-;-;-;3;-;29
"353270 Nipoã";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353280 Nova Aliança";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353282 Nova Campina";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353284 Nova Canaã Paulista";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353286 Nova Castilho";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353290 Nova Europa";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;10
"353300 Nova Granada";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;6;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;20
"353310 Nova Guataporanga";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353320 Nova Independência";-;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"353330 Nova Luzitânia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353340 Nova Odessa";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;1;5;-;-;1;-;-;-;2;-;2;-;-;-;-;-;-;-;2;-;24
"353325 Novais";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353350 Novo Horizonte";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;20;-;8;-;-;-;-;22;-;1;-;-;-;-;-;-;-;2;-;66
"353360 Nuporanga";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;16
"353370 Ocauçu";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353380 Óleo";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353390 Olímpia";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;14;-;14;2;-;-;-;21;-;1;-;-;-;-;-;-;-;3;-;78
"353400 Onda Verde";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353410 Oriente";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353420 Orindiúva";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"353430 Orlândia";-;1;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;30;-;12;2;-;-;23;10;-;2;1;-;-;-;-;-;-;4;-;101
"353440 Osasco";-;5;-;-;-;-;-;-;-;-;-;82;-;-;-;6;12;214;-;36;1;-;-;8;230;-;49;12;-;2;1;-;1;-;8;-;667
"353450 Oscar Bressane";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353460 Osvaldo Cruz";-;1;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;11;-;5;-;-;-;-;14;-;1;1;-;-;-;-;-;-;3;-;49
"353470 Ourinhos";-;1;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;88;-;39;2;-;-;-;22;-;6;-;-;-;1;-;1;-;11;-;206
"353480 Ouro Verde";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"353475 Ouroeste";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;12;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"353490 Pacaembu";-;4;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;3;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;15
"353500 Palestina";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"353510 Palmares Paulista";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;10
"353520 Palmeira d'Oeste";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;9
"353530 Palmital";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;5;-;9;-;-;-;-;3;-;2;4;-;-;-;-;2;-;2;-;40
"353540 Panorama";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;11
"353550 Paraguaçu Paulista";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;18;-;21;-;-;-;-;7;-;4;-;-;-;-;-;-;-;1;-;73
"353560 Paraibuna";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"353570 Paraíso";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353580 Paranapanema";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;11;-;7;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;29
"353590 Paranapuã";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;9
"353610 Pardinho";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353620 Pariquera-Açu";-;2;-;-;-;-;-;-;-;-;1;12;-;-;-;-;-;3;-;1;-;-;-;-;1;-;2;-;-;-;1;-;-;-;2;-;25
"353625 Parisi";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;17
"353640 Paulicéia";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353650 Paulínia";-;-;-;-;-;-;-;-;-;-;-;26;-;-;1;-;3;38;-;3;-;-;-;-;12;-;7;2;-;-;-;-;-;-;2;-;94
"353657 Paulistânia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353660 Paulo de Faria";-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;7
"353670 Pederneiras";-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;12;-;11;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;-;49
"353680 Pedra Bela";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353690 Pedranópolis";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353700 Pedregulho";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;18
"353710 Pedreira";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;9;-;1;-;-;-;3;9;-;1;-;-;1;-;-;-;-;2;-;39
"353715 Pedrinhas Paulista";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"353720 Pedro de Toledo";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"353730 Penápolis";-;-;-;-;-;-;-;-;-;-;5;14;-;-;-;-;-;37;-;10;1;-;-;-;2;-;3;1;-;-;-;-;-;-;5;-;78
"353740 Pereira Barreto";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;7;-;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;41
"353750 Pereiras";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"353760 Peruíbe";-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;6;-;3;-;-;-;-;5;-;3;-;-;-;-;-;-;-;2;-;48
"353770 Piacatu";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353780 Piedade";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;14;-;2;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;33
"353790 Pilar do Sul";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;4;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;22
"353800 Pindamonhangaba";-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;1;-;57;-;6;4;-;-;1;24;-;3;-;-;1;-;-;-;-;4;-;146
"353810 Pindorama";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"353820 Pinhalzinho";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"353830 Piquerobi";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353850 Piquete";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"353860 Piracaia";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;-;-;-;-;-;2;-;2;1;-;-;-;-;-;-;2;-;14
"353870 Piracicaba";-;9;-;-;-;1;-;-;1;-;-;105;-;-;-;-;1;233;-;24;12;-;-;7;100;-;22;4;-;-;1;-;1;-;12;-;533
"353880 Piraju";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;14;-;9;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3;-;42
"353890 Pirajuí";-;3;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5;-;28
"353900 Pirangi";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;4;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;16
"353910 Pirapora do Bom Jesus";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"353920 Pirapozinho";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;5;-;1;-;-;-;-;4;-;-;-;-;-;-;-;-;-;2;-;27
"353930 Pirassununga";-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;2;48;-;2;1;-;-;4;6;-;4;-;-;-;-;-;-;-;3;-;96
"353940 Piratininga";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"353950 Pitangueiras";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;6;-;2;1;-;-;3;5;-;-;-;-;-;-;-;-;-;2;-;32
"353960 Planalto";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353970 Platina";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353980 Poá";-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;8;-;4;-;-;-;-;4;-;3;-;-;-;-;-;-;-;1;-;47
"353990 Poloni";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"354000 Pompéia";-;-;15;-;-;-;-;-;-;-;-;1;-;-;-;-;-;12;-;25;-;-;-;-;4;-;1;-;-;-;-;-;-;-;2;-;60
"354010 Pongaí";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354020 Pontal";-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;2;14;-;13;-;-;-;2;8;-;2;-;-;-;-;-;-;-;3;-;65
"354025 Pontalinda";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354030 Pontes Gestal";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354040 Populina";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"354050 Porangaba";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;9
"354060 Porto Feliz";-;1;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;15;-;4;-;-;-;-;3;-;2;-;-;-;-;-;-;-;3;-;44
"354070 Porto Ferreira";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;31;-;5;-;-;-;1;19;-;5;4;-;-;-;-;-;-;3;-;86
"354075 Potim";-;2;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
