"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"351518 Espírito Santo do Pinhal";-;-;-;-;-;1;-;5;1;10;103;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;6;-;-;1;-;-;131
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;1;-;1;12;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;7
"351540 Fartura";-;-;-;-;-;-;-;2;-;2;20;-;-;-;1;-;-;-;1;-;-;-;-;2;1;-;3;-;-;1;-;-;33
"351560 Fernando Prestes";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"351550 Fernandópolis";-;1;1;-;1;1;-;16;-;40;158;1;13;-;2;-;-;1;3;1;-;-;-;1;-;-;21;-;-;4;-;-;265
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;1;-;-;1;-;13;-;9;5;-;-;-;1;-;-;-;2;1;-;-;-;1;-;-;4;2;-;4;-;-;44
"351580 Flora Rica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351590 Floreal";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"351600 Flórida Paulista";-;-;-;-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;3;-;-;-;-;-;13
"351610 Florínia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351620 Franca";-;2;1;-;1;1;-;22;1;48;537;-;2;1;3;-;-;-;4;-;1;-;1;2;-;-;27;2;-;5;1;-;662
"351630 Francisco Morato";-;-;-;-;-;1;-;12;-;6;22;-;1;-;2;-;-;-;2;-;-;-;-;1;-;-;2;-;-;-;1;-;50
"351640 Franco da Rocha";-;-;-;-;-;-;-;12;1;6;33;-;2;2;3;-;-;-;-;-;1;-;-;1;-;-;5;5;-;-;-;-;71
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;2;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;13
"351670 Garça";1;-;-;1;-;2;-;12;-;6;31;-;1;2;1;-;-;-;1;-;1;-;-;1;-;-;2;1;-;-;-;1;64
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;1;-;3;6;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;2;-;-;-;-;-;16
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;13
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;-;6;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;2;-;-;-;-;-;14
"351730 Guaimbê";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;5
"351740 Guaíra";-;-;-;-;-;1;-;8;-;5;39;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;4;-;-;1;-;-;61
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;4;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;21
"351760 Guapiara";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;-;-;1;1;-;-;-;-;-;-;-;-;13
"351770 Guará";1;-;-;-;-;1;-;5;1;4;16;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;2;1;-;-;-;-;34
"351780 Guaraçaí";-;-;-;-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;14
"351790 Guaraci";-;-;-;-;-;-;-;6;-;-;5;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;14
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"351820 Guararapes";-;-;-;-;-;-;-;4;-;2;23;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;34
"351830 Guararema";-;-;-;-;-;1;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;19
"351840 Guaratinguetá";-;1;1;-;-;1;-;12;-;14;178;-;1;-;2;2;-;-;17;3;-;-;1;1;-;-;11;1;-;4;1;-;251
"351850 Guareí";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;7
"351860 Guariba";-;-;-;-;-;-;-;4;-;5;19;-;-;-;1;-;-;-;5;-;1;-;-;1;-;-;4;-;-;1;-;-;41
"351870 Guarujá";-;1;-;-;-;4;-;20;-;33;174;-;2;1;1;3;-;-;-;1;7;-;2;1;-;-;31;1;-;6;-;-;288
"351880 Guarulhos";1;1;1;-;1;7;-;70;-;145;282;-;1;3;10;-;-;-;37;1;1;-;4;1;-;-;50;1;-;18;-;-;635
"351885 Guatapará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;4
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;9
"351905 Holambra";-;-;-;-;-;-;-;3;-;2;8;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;15
"351907 Hortolândia";-;-;1;-;-;3;-;22;-;14;46;-;3;-;2;1;-;-;5;-;1;-;1;1;-;-;7;1;-;8;2;-;118
"351910 Iacanga";-;-;-;-;-;-;-;-;-;1;6;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;12
"351920 Iacri";-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"351925 Iaras";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"351930 Ibaté";-;-;-;-;-;-;-;8;-;1;14;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;1;-;-;-;-;30
"351940 Ibirá";-;-;-;-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;-;-;1;-;-;15
"351950 Ibirarema";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"351960 Ibitinga";-;-;-;-;-;-;-;7;-;2;86;-;-;-;2;-;-;-;1;-;-;-;2;1;-;-;9;-;-;1;-;-;111
"351970 Ibiúna";-;1;-;-;-;1;-;17;-;4;11;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;40
"351980 Icém";-;-;-;-;-;-;-;2;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;12
"351990 Iepê";-;-;-;-;-;-;-;3;-;3;5;-;5;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;4;-;3;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;12
"352010 Igarapava";-;-;-;-;-;-;-;6;-;2;36;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;4;-;-;-;-;-;52
"352020 Igaratá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;5
"352030 Iguape";-;-;-;-;-;1;-;1;-;1;6;-;-;-;-;-;-;-;1;5;-;-;-;1;-;-;3;-;1;-;-;-;20
"352042 Ilha Comprida";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;-;-;-;-;-;-;8;-;6;51;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;3;-;-;-;-;-;72
"352040 Ilhabela";-;-;-;-;-;1;-;9;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;2;-;-;22
"352050 Indaiatuba";-;-;-;-;1;3;-;13;-;38;212;-;-;1;2;4;-;-;18;-;1;-;-;1;-;-;24;1;-;1;1;-;321
"352060 Indiana";-;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;8
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352090 Ipaussu";-;-;-;-;-;-;-;3;-;1;5;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;15
"352100 Iperó";-;1;-;-;-;1;-;5;-;-;12;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;23
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;6
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;4
"352130 Ipuã";-;-;-;-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;2;-;-;-;-;-;33
"352140 Iracemápolis";-;-;-;-;-;-;-;3;-;2;9;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;18
"352150 Irapuã";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352160 Irapuru";-;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"352170 Itaberá";-;1;-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;4;-;-;-;1;-;-;2;-;-;-;1;-;16
"352180 Itaí";-;-;-;-;-;-;-;8;-;-;15;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;29
"352190 Itajobi";-;-;-;-;-;-;-;5;-;1;5;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;15
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";-;-;1;-;-;3;-;10;-;15;15;-;2;-;1;-;-;-;2;-;-;-;1;1;-;-;2;2;-;4;-;-;59
"352215 Itaóca";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;12;-;5;18;-;-;2;1;-;-;-;2;-;-;-;2;1;-;-;2;-;-;2;-;-;48
"352230 Itapetininga";-;1;1;1;-;2;-;25;-;11;213;-;-;-;2;-;-;-;5;7;-;-;-;1;-;-;14;1;-;3;-;-;287
"352240 Itapeva";-;1;1;-;-;2;-;24;-;15;90;-;2;-;1;1;-;-;18;-;1;-;-;1;-;-;6;1;-;2;-;-;166
"352250 Itapevi";-;1;1;-;-;1;-;13;-;17;19;-;1;-;2;-;-;-;2;-;-;-;4;1;-;-;4;1;-;6;1;-;74
"352260 Itapira";-;-;-;-;-;1;-;16;-;10;120;-;-;3;2;-;-;-;6;-;-;-;-;1;-;-;10;-;-;2;-;-;171
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;5
"352270 Itápolis";-;-;-;-;-;1;-;8;-;8;56;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;7;-;-;1;-;-;84
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;2;1;-;1;-;-;14
"352290 Itapuí";-;-;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"352300 Itapura";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"352310 Itaquaquecetuba";-;1;1;-;-;-;-;17;-;5;14;-;2;-;1;-;-;-;4;-;-;-;1;1;-;-;6;3;-;7;-;-;63
"352320 Itararé";-;1;-;-;-;1;-;7;-;9;44;-;1;-;1;-;-;-;-;5;-;-;-;1;-;-;6;-;-;1;-;-;77
"352330 Itariri";-;-;-;-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;9
"352340 Itatiba";-;-;-;-;-;2;-;18;-;23;57;-;1;-;2;1;-;-;4;-;2;-;-;1;-;-;15;1;-;1;1;-;129
"352350 Itatinga";-;-;-;-;-;-;-;2;-;1;13;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;18
"352360 Itirapina";-;-;-;-;-;-;-;4;-;1;18;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;1;-;-;1;-;-;29
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352390 Itu";-;1;-;-;-;2;-;15;-;7;136;-;1;2;1;-;-;-;44;-;3;-;-;1;-;-;17;-;-;-;3;-;233
"352400 Itupeva";-;-;-;-;-;1;-;13;-;4;17;1;-;1;1;-;-;-;2;-;-;-;-;1;-;-;5;-;-;-;1;-;47
"352410 Ituverava";-;-;-;-;-;1;-;11;1;9;118;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;10;1;-;1;-;-;156
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;7
"352430 Jaboticabal";-;-;-;-;-;2;-;10;-;12;74;-;1;-;2;-;-;-;13;-;1;-;-;1;-;-;8;-;-;1;-;-;125
"352440 Jacareí";-;1;-;-;2;2;-;17;-;24;242;-;-;-;5;1;-;-;6;-;1;-;1;1;-;-;22;-;-;-;-;-;325
"352450 Jaci";-;-;-;-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;5;-;-;6;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;15
"352470 Jaguariúna";-;-;-;-;-;1;-;8;1;4;30;-;-;-;1;1;-;-;12;-;1;-;-;1;-;-;7;-;-;-;2;-;69
"352480 Jales";-;1;1;-;-;-;-;11;-;9;139;-;-;1;1;-;-;-;2;-;1;-;1;1;-;-;16;1;-;2;-;-;187
"352490 Jambeiro";-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352500 Jandira";-;-;-;-;-;1;-;9;-;5;9;-;-;-;1;1;-;-;3;-;-;-;-;1;-;-;1;-;-;1;-;-;32
"352510 Jardinópolis";-;-;-;-;-;-;-;8;-;6;22;-;-;-;-;-;-;-;3;-;1;-;-;1;-;-;1;-;-;-;-;-;42
"352520 Jarinu";-;1;-;-;-;-;-;3;-;3;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3;-;1;-;-;-;16
"352530 Jaú";-;-;1;-;-;1;-;16;-;55;315;-;-;2;1;-;-;-;1;-;1;-;-;1;-;-;12;-;-;2;-;-;408
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;8
"352560 João Ramalho";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;2;21;-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;5;-;-;1;-;-;42
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352585 Jumirim";-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352590 Jundiaí";-;2;1;-;4;3;-;37;-;193;1124;-;2;1;5;4;-;-;12;-;5;-;-;1;1;-;51;-;-;5;-;-;1451
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;1;10;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;27
"352610 Juquiá";-;-;-;-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;13
"352620 Juquitiba";-;-;-;-;-;1;-;4;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;2;-;-;14
"352630 Lagoinha";-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;5;50;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;5;-;-;-;-;-;71
"352650 Lavínia";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352660 Lavrinhas";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;2;-;14;-;16;106;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;13;1;-;-;1;-;157
"352680 Lençóis Paulista";-;1;-;-;-;-;-;10;-;5;105;-;-;-;1;1;-;-;2;-;-;-;1;1;-;-;18;-;-;1;1;-;147
"352690 Limeira";-;-;1;-;-;2;-;27;-;45;433;-;-;-;4;-;-;-;10;1;-;-;-;1;-;-;24;1;-;5;-;-;554
"352700 Lindóia";-;-;-;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;2;-;-;12
"352710 Lins";-;-;-;-;1;3;-;8;-;8;327;-;-;2;3;-;-;-;1;3;-;-;-;1;-;-;15;-;-;-;-;-;372
"352720 Lorena";-;-;-;-;-;1;-;17;-;9;150;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;12;-;-;1;-;-;194
"352725 Lourdes";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352730 Louveira";-;-;-;-;-;-;-;4;-;4;15;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;2;-;-;-;-;-;29
"352740 Lucélia";-;-;-;-;-;-;-;6;-;3;18;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;29
"352750 Lucianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352760 Luís Antônio";1;-;-;-;-;-;-;4;-;1;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;17
"352770 Luiziânia";-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;7
"352780 Lupércio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"352790 Lutécia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352800 Macatuba";-;-;-;-;-;-;-;4;-;4;16;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;28
"352810 Macaubal";-;-;-;-;-;-;-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;11
"352820 Macedônia";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352830 Magda";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352840 Mairinque";-;1;-;-;-;-;-;15;-;8;20;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;48
"352850 Mairiporã";-;1;-;-;-;2;-;6;-;12;15;-;2;-;1;-;-;-;2;7;-;-;-;1;-;-;2;-;-;-;-;-;51
"352860 Manduri";-;-;-;-;-;-;-;2;-;2;5;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;12
"352870 Marabá Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"352880 Maracaí";-;-;-;-;-;1;-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;14
"352885 Marapoama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352900 Marília";-;1;1;-;-;3;-;50;1;38;536;-;4;2;4;-;-;1;1;-;3;-;-;2;1;-;26;1;-;5;1;-;681
"352910 Marinópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352920 Martinópolis";-;-;-;-;-;2;-;9;-;3;15;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;33
"352930 Matão";-;-;-;-;-;1;-;15;-;25;102;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;8;-;-;3;1;-;158
"352940 Mauá";-;1;2;-;-;3;-;25;1;14;135;-;2;1;5;-;-;-;8;-;4;-;-;1;-;-;18;1;-;11;1;-;233
"352950 Mendonça";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;4
"352960 Meridiano";-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;6
"352965 Mesópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;-;-;-;7;1;3;13;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;31
"352980 Mineiros do Tietê";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;9
"353000 Mira Estrela";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352990 Miracatu";-;-;-;-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;1;-;-;-;-;-;12
"353010 Mirandópolis";-;-;-;-;-;-;-;6;-;-;28;-;1;-;1;-;-;-;-;3;-;-;-;1;-;-;7;1;-;-;-;-;48
"353020 Mirante do Paranapanema";-;-;-;-;-;-;-;8;-;1;8;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;1;-;-;-;-;22
"353030 Mirassol";-;-;-;-;-;1;-;6;-;13;79;-;-;-;2;-;-;-;-;1;-;-;1;1;-;-;8;1;-;1;-;-;114
"353040 Mirassolândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
