"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"355570 União Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"355580 Urânia";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"355590 Uru";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"355600 Urupês";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"355610 Valentim Gentil";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"355620 Valinhos";-;-;2;-;13;-;22;217;-;-;-;2;-;-;2;-;1;-;-;1;11;2;-;-;-;273
"355630 Valparaíso";-;-;-;-;6;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;22
"355635 Vargem";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"355640 Vargem Grande do Sul";-;-;-;-;2;-;4;53;-;-;-;1;-;-;2;4;-;-;1;1;5;-;-;-;-;73
"355645 Vargem Grande Paulista";-;-;1;-;7;-;5;-;-;-;-;-;-;-;4;-;1;-;-;2;-;1;-;-;-;21
"355650 Várzea Paulista";-;-;1;-;13;-;6;6;-;-;-;1;-;-;1;-;-;-;-;1;3;-;-;-;-;32
"355660 Vera Cruz";-;-;-;-;1;-;2;7;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;13
"355670 Vinhedo";-;-;1;-;4;-;31;181;-;-;-;1;-;-;2;-;-;-;-;1;15;-;-;-;-;236
"355680 Viradouro";-;-;-;-;3;-;5;17;-;1;-;1;-;-;3;-;-;-;-;1;4;-;-;-;-;35
"355690 Vista Alegre do Alto";-;-;-;-;1;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;9
"355695 Vitória Brasil";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"355700 Votorantim";-;-;1;-;13;-;6;36;-;-;-;2;-;-;2;1;-;-;-;1;8;-;-;-;1;71
"355710 Votuporanga";-;-;1;-;12;-;18;187;-;1;-;2;-;-;1;-;2;-;-;1;14;-;-;1;-;240
"355715 Zacarias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"Total";8;17;309;2;4245;64;7712;35392;27;137;170;725;106;16;1371;361;87;22;190;600;3357;183;25;95;94;55315
&
