"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"353050 Mococa";-;-;-;-;-;3;-;11;1;65;92;-;1;-;1;6;-;3;-;-;1;-;1;-;-;10;2;-;1;1;-;199
"353060 Mogi das Cruzes";-;1;1;-;1;1;-;33;-;48;32;-;1;1;6;-;-;-;5;1;-;-;1;-;-;21;2;-;7;3;-;165
"353070 Mogi Guaçu";1;-;1;-;-;2;-;17;-;39;200;-;-;-;3;-;-;7;-;1;-;1;1;-;-;13;-;-;2;-;-;288
"353080 Mogi Mirim";-;1;-;-;-;2;-;14;-;9;132;-;1;1;1;1;-;4;-;-;-;-;1;-;-;17;-;-;2;-;-;186
"353090 Mombuca";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"353100 Monções";1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;6
"353110 Mongaguá";-;-;-;-;-;-;-;8;-;8;5;-;1;-;1;-;-;1;-;-;-;2;-;-;-;2;1;-;2;-;-;31
"353120 Monte Alegre do Sul";-;-;-;-;-;-;-;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;10
"353130 Monte Alto";-;-;-;-;-;1;-;8;-;6;137;1;1;-;2;-;-;18;-;1;-;-;-;-;-;2;1;-;1;-;-;179
"353140 Monte Aprazível";-;-;-;-;-;-;-;4;-;5;14;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;1;-;-;29
"353150 Monte Azul Paulista";-;-;-;-;-;-;-;2;-;2;11;-;-;-;2;-;-;1;-;-;-;1;1;-;-;3;-;-;-;-;-;23
"353160 Monte Castelo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353180 Monte Mor";-;-;-;-;-;1;-;10;-;7;21;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;45
"353170 Monteiro Lobato";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;6
"353190 Morro Agudo";-;-;-;-;-;1;-;5;-;7;33;-;-;-;1;-;-;1;3;-;-;-;1;-;-;6;-;-;-;-;-;58
"353200 Morungaba";-;-;-;-;-;-;-;4;-;2;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;11
"353205 Motuca";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;5
"353210 Murutinga do Sul";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;6
"353215 Nantes";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"353220 Narandiba";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"353230 Natividade da Serra";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"353240 Nazaré Paulista";-;-;-;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;7
"353250 Neves Paulista";-;-;-;-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;12
"353260 Nhandeara";-;-;-;-;-;-;-;4;-;2;20;-;-;1;1;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;32
"353270 Nipoã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"353282 Nova Campina";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"353284 Nova Canaã Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"353290 Nova Europa";-;-;-;-;-;-;-;3;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"353300 Nova Granada";-;-;-;-;-;-;-;3;-;2;3;-;-;-;1;-;-;3;2;-;-;-;1;-;-;1;-;-;1;-;-;17
"353310 Nova Guataporanga";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"353320 Nova Independência";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"353330 Nova Luzitânia";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"353340 Nova Odessa";-;-;-;-;-;1;-;5;-;4;38;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;51
"353325 Novais";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;-;-;-;5;-;12;35;-;-;-;1;-;-;1;1;-;-;-;1;-;-;5;-;-;-;-;-;61
"353360 Nuporanga";-;-;-;-;-;-;-;4;-;-;10;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6;1;-;-;-;-;22
"353370 Ocauçu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"353380 Óleo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"353390 Olímpia";-;1;-;-;-;-;-;9;-;9;59;-;-;-;1;-;-;6;-;1;-;1;1;-;-;13;-;-;1;-;-;102
"353400 Onda Verde";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"353410 Oriente";1;-;-;-;-;-;-;2;-;-;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;12
"353420 Orindiúva";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"353430 Orlândia";-;-;-;-;-;1;-;7;-;18;93;1;1;-;1;-;-;6;-;1;-;-;1;-;-;8;-;-;-;1;-;139
"353440 Osasco";-;1;1;-;2;2;-;38;-;169;396;-;4;2;6;2;-;9;-;5;-;5;1;-;-;39;1;-;7;1;-;691
"353450 Oscar Bressane";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"353460 Osvaldo Cruz";-;1;-;-;-;-;-;6;-;6;27;-;-;-;2;-;-;1;2;-;-;-;1;-;-;12;-;-;-;1;-;59
"353470 Ourinhos";-;-;-;-;1;1;-;16;1;1;251;-;1;2;3;1;-;7;2;1;-;-;1;-;-;27;1;-;-;-;-;317
"353480 Ouro Verde";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;6
"353475 Ouroeste";-;-;-;-;-;-;-;2;-;-;10;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;16
"353490 Pacaembu";1;-;-;-;-;-;-;4;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;18
"353500 Palestina";-;-;-;-;-;-;-;1;-;1;5;-;-;-;-;-;-;1;2;-;-;-;1;-;-;2;-;-;1;-;-;14
"353510 Palmares Paulista";-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;9
"353520 Palmeira d'Oeste";-;-;-;-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;1;-;-;14
"353530 Palmital";-;1;-;-;-;-;-;5;-;1;23;-;1;-;1;-;-;2;-;-;-;-;1;-;-;2;-;-;-;-;-;37
"353540 Panorama";-;-;-;-;-;-;-;4;-;1;5;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;13
"353550 Paraguaçu Paulista";-;1;-;-;-;1;-;13;-;2;54;-;2;-;1;-;-;1;-;-;-;-;1;-;-;7;-;-;-;-;-;83
"353560 Paraibuna";-;-;-;-;-;-;-;1;-;-;6;-;-;-;1;-;-;-;5;-;-;1;1;-;-;1;-;-;-;-;-;16
"353570 Paraíso";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"353580 Paranapanema";-;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;11
"353590 Paranapuã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"353610 Pardinho";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"353620 Pariquera-Açu";-;-;-;-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;1;-;-;17
"353625 Parisi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;-;-;-;6;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;11
"353640 Paulicéia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353650 Paulínia";-;-;-;-;-;2;-;8;-;13;82;-;-;-;1;-;-;8;-;2;-;-;1;-;-;6;-;-;-;1;-;124
"353657 Paulistânia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353660 Paulo de Faria";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;6
"353670 Pederneiras";-;-;-;-;-;1;-;12;-;2;39;-;-;-;1;-;-;-;1;-;-;-;1;-;-;7;-;-;1;-;-;65
"353680 Pedra Bela";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"353690 Pedranópolis";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"353700 Pedregulho";-;-;-;-;-;-;-;6;-;3;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;17
"353710 Pedreira";-;-;-;-;-;1;-;8;-;2;12;-;-;-;1;-;-;3;-;-;-;1;1;-;-;11;-;-;-;-;-;40
"353715 Pedrinhas Paulista";-;-;-;-;-;-;-;3;1;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;10
"353720 Pedro de Toledo";-;-;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;9
"353730 Penápolis";-;1;-;-;-;1;-;10;-;6;98;1;-;1;2;-;-;1;-;-;-;1;1;-;-;12;-;-;-;-;-;135
"353740 Pereira Barreto";-;1;-;-;-;-;-;6;-;4;26;-;-;-;1;-;-;-;1;-;-;-;1;-;-;5;-;-;-;-;-;45
"353750 Pereiras";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;7
"353760 Peruíbe";-;-;-;-;-;1;-;10;-;1;16;-;-;-;1;-;-;10;1;-;-;1;1;-;-;4;-;-;3;-;-;49
"353770 Piacatu";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353780 Piedade";-;1;-;-;-;-;-;7;-;4;28;-;-;1;1;-;-;-;-;-;-;-;1;-;-;3;-;-;1;-;-;47
"353790 Pilar do Sul";-;1;-;-;-;-;-;7;-;1;6;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;20
"353800 Pindamonhangaba";-;-;-;-;1;1;-;20;-;9;227;-;-;-;2;-;-;6;-;1;-;-;1;-;-;13;-;-;-;-;-;281
"353810 Pindorama";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;1;-;-;1;1;-;-;5;-;-;-;-;-;17
"353820 Pinhalzinho";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;3;1;-;-;1;-;-;1;-;-;-;-;-;9
"353830 Piquerobi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353850 Piquete";-;-;-;-;-;-;-;5;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;13
"353860 Piracaia";-;-;-;-;-;-;-;2;-;1;3;-;-;-;1;-;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;12
"353870 Piracicaba";-;1;1;-;-;1;-;65;-;185;474;-;1;-;5;2;-;5;-;-;1;4;2;1;-;73;-;-;7;-;-;828
"353880 Piraju";-;-;-;-;-;-;-;8;-;3;53;-;-;-;1;-;-;4;-;-;-;-;1;-;-;6;-;-;-;-;-;76
"353890 Pirajuí";-;-;-;-;-;-;-;6;-;1;27;-;-;1;1;-;-;-;3;-;-;1;1;-;-;4;-;-;1;1;-;47
"353900 Pirangi";-;-;-;-;-;-;-;3;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;15
"353910 Pirapora do Bom Jesus";-;-;-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;10
"353920 Pirapozinho";-;-;-;-;-;1;-;6;-;3;9;-;-;1;-;-;-;1;1;1;-;-;1;-;-;4;-;-;-;-;-;28
"353930 Pirassununga";-;-;-;-;-;3;-;-;-;9;158;-;-;-;1;-;-;2;15;1;-;1;1;-;-;7;1;-;1;-;-;200
"353940 Piratininga";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;6
"353950 Pitangueiras";-;-;-;-;-;-;-;6;-;6;41;-;-;-;1;-;-;6;-;1;-;-;1;-;-;2;-;-;1;-;-;65
"353960 Planalto";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;3
"353970 Platina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353980 Poá";-;1;-;-;-;-;-;15;-;7;12;-;-;-;1;-;-;2;-;-;-;-;1;-;-;6;3;-;-;-;-;48
"353990 Poloni";-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;7
"354000 Pompéia";-;-;-;-;-;1;-;6;-;11;78;-;-;-;1;-;-;-;1;-;-;-;1;-;-;3;-;-;-;-;-;102
"354010 Pongaí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354020 Pontal";-;-;-;-;-;-;-;8;-;4;19;-;1;-;1;-;-;3;-;-;-;-;1;-;-;8;-;-;-;-;-;45
"354025 Pontalinda";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354030 Pontes Gestal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354040 Populina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354050 Porangaba";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;11
"354060 Porto Feliz";-;1;-;-;-;-;-;7;-;8;42;-;1;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;65
"354070 Porto Ferreira";-;-;-;-;-;1;-;10;-;4;95;-;-;-;1;-;-;5;-;1;-;-;1;-;-;20;-;-;-;-;-;138
"354075 Potim";-;-;-;-;-;1;-;5;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;11
"354080 Potirendaba";-;-;-;-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;19
"354085 Pracinha";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354090 Pradópolis";-;-;-;-;-;-;-;2;-;2;6;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;13
"354100 Praia Grande";-;3;-;-;-;2;-;20;-;21;65;-;-;-;1;3;-;18;1;1;-;6;1;-;-;13;-;-;5;1;-;161
"354105 Pratânia";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"354110 Presidente Alves";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354120 Presidente Bernardes";-;-;-;-;-;-;-;9;-;-;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;25
"354130 Presidente Epitácio";-;-;-;-;-;-;-;9;-;-;20;-;-;-;1;-;-;-;1;-;-;-;1;-;-;7;-;-;-;-;-;39
"354140 Presidente Prudente";-;-;-;-;-;2;-;25;-;55;498;-;1;5;8;-;1;11;1;2;-;-;2;-;-;34;-;-;-;2;-;647
"354150 Presidente Venceslau";-;-;-;-;-;1;-;10;-;1;40;-;-;-;1;-;-;2;-;-;-;-;1;-;-;9;2;-;-;-;-;67
"354160 Promissão";-;-;-;-;-;-;-;11;-;4;38;-;-;-;1;-;-;1;-;-;-;-;1;-;-;5;-;-;-;-;-;61
"354165 Quadra";-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;5
"354170 Quatá";-;-;-;-;-;-;-;3;-;1;13;-;-;-;-;-;-;-;1;-;-;1;1;-;-;2;-;-;-;-;-;22
"354180 Queiroz";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354190 Queluz";-;1;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;10
"354200 Quintana";-;-;-;-;-;-;-;4;-;2;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;13
"354210 Rafard";-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"354220 Rancharia";-;-;-;-;-;1;-;9;-;2;34;-;-;-;1;-;-;-;-;-;-;-;1;-;-;6;-;-;-;-;-;54
"354230 Redenção da Serra";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;-;-;-;8;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;19
"354250 Reginópolis";-;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"354260 Registro";-;-;-;-;-;1;-;15;-;13;50;-;1;-;2;-;-;2;-;-;-;1;2;-;-;9;-;-;-;-;-;96
"354270 Restinga";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354280 Ribeira";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354290 Ribeirão Bonito";-;-;-;-;-;-;-;4;-;1;17;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;25
"354300 Ribeirão Branco";-;1;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;10
"354310 Ribeirão Corrente";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354320 Ribeirão do Sul";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"354330 Ribeirão Pires";-;-;-;-;-;3;-;9;-;17;48;-;-;-;2;1;-;10;-;1;-;1;1;-;-;9;-;-;-;-;-;102
"354340 Ribeirão Preto";-;1;1;-;6;4;-;44;-;323;1100;-;1;4;13;1;1;72;3;1;-;1;2;-;-;90;1;-;14;5;-;1688
"354360 Rifaina";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354370 Rincão";-;-;-;-;-;-;-;1;-;1;6;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;11
"354380 Rinópolis";-;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;10
"354390 Rio Claro";-;-;1;-;-;2;-;18;1;31;248;1;2;1;3;1;1;16;-;3;-;-;1;-;-;34;3;-;3;-;-;370
"354400 Rio das Pedras";-;-;-;-;-;1;-;1;-;4;55;-;-;-;1;-;-;5;-;-;-;1;1;-;-;3;-;-;-;-;-;72
"354410 Rio Grande da Serra";-;-;-;-;-;1;-;8;-;3;5;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;1;-;-;-;-;22
"354420 Riolândia";-;-;-;-;-;-;-;3;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"354350 Riversul";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354425 Rosana";-;-;-;-;-;-;-;1;-;-;19;-;-;-;1;-;-;1;8;-;-;-;1;-;-;5;-;-;-;-;-;36
"354430 Roseira";-;1;-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;9
"354440 Rubiácea";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"354450 Rubinéia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"354470 Sagres";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354480 Sales";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354490 Sales Oliveira";-;-;-;-;-;-;-;3;-;1;21;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3;1;-;-;-;-;31
"354500 Salesópolis";-;1;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;3;-;1;-;-;11
"354510 Salmourão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354515 Saltinho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354520 Salto";-;1;-;-;-;1;-;10;-;14;85;-;1;-;2;-;-;3;-;-;-;-;1;-;-;5;-;-;-;-;-;123
"354530 Salto de Pirapora";-;1;-;-;-;-;-;7;-;2;35;-;-;2;1;-;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;52
"354540 Salto Grande";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354550 Sandovalina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354560 Santa Adélia";-;1;-;-;-;-;-;3;-;1;21;-;-;-;1;-;-;-;3;-;-;-;1;-;-;2;-;-;-;-;-;33
"354570 Santa Albertina";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;6
"354580 Santa Bárbara d'Oeste";-;-;-;-;-;-;-;14;-;15;168;-;-;-;1;1;-;3;-;1;1;-;1;-;-;14;2;-;1;-;-;222
"354600 Santa Branca";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;10
"354610 Santa Clara d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
