"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"352960 Meridiano";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352965 Mesópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;-;-;-;7;1;3;12;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;4;-;-;-;-;-;30
"352980 Mineiros do Tietê";-;-;-;-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;9
"353000 Mira Estrela";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352990 Miracatu";-;-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;11
"353010 Mirandópolis";-;-;-;-;-;-;-;6;-;-;29;-;1;-;2;-;-;-;3;-;-;-;1;-;-;-;7;1;-;-;-;-;50
"353020 Mirante do Paranapanema";-;-;-;-;-;-;-;6;-;1;8;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;19
"353030 Mirassol";-;-;-;-;-;1;-;6;-;13;73;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;8;1;-;1;-;-;108
"353040 Mirassolândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353050 Mococa";-;-;-;-;-;3;-;11;1;62;90;-;1;-;1;6;-;3;-;-;1;-;1;-;-;-;10;2;-;1;1;-;194
"353060 Mogi das Cruzes";-;1;1;-;1;1;-;33;-;42;26;-;1;1;6;-;-;-;5;1;-;-;1;-;-;-;12;2;-;6;3;-;143
"353070 Mogi Guaçu";1;-;1;-;-;2;-;16;-;39;199;-;-;-;3;-;-;7;-;1;-;1;1;-;-;-;13;-;-;2;-;-;286
"353080 Mogi Mirim";-;-;-;-;-;2;-;14;-;9;129;-;1;1;1;1;-;4;-;-;-;-;1;-;-;-;17;-;-;2;-;-;182
"353090 Mombuca";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353100 Monções";1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;6
"353110 Mongaguá";-;-;-;-;-;-;-;8;-;8;5;-;1;-;1;-;-;1;-;-;-;2;-;-;-;-;2;1;-;2;-;-;31
"353120 Monte Alegre do Sul";-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"353130 Monte Alto";-;-;-;-;-;1;-;8;-;6;135;1;1;-;2;-;-;18;-;1;-;-;-;-;-;-;2;1;-;-;-;-;176
"353140 Monte Aprazível";-;-;-;-;-;-;-;4;-;5;13;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;28
"353150 Monte Azul Paulista";-;-;-;-;-;-;-;2;-;2;12;-;-;-;2;-;-;1;-;-;-;1;1;-;-;-;3;-;-;-;-;-;24
"353160 Monte Castelo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353180 Monte Mor";-;-;-;-;-;1;-;10;-;7;21;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;45
"353170 Monteiro Lobato";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"353190 Morro Agudo";-;-;-;-;-;1;-;5;-;6;34;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;6;-;-;-;-;-;57
"353200 Morungaba";-;-;-;-;-;-;-;5;-;2;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;13
"353205 Motuca";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;5
"353210 Murutinga do Sul";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"353215 Nantes";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"353220 Narandiba";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"353230 Natividade da Serra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"353250 Neves Paulista";-;-;-;-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;12
"353260 Nhandeara";-;-;-;-;-;-;-;4;-;2;20;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;32
"353270 Nipoã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"353282 Nova Campina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"353284 Nova Canaã Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"353290 Nova Europa";-;-;-;-;-;-;-;3;-;2;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"353300 Nova Granada";-;-;-;-;-;-;-;3;-;2;2;-;-;-;1;-;-;3;2;-;-;-;1;-;-;-;1;-;-;1;-;-;16
"353310 Nova Guataporanga";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"353320 Nova Independência";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"353330 Nova Luzitânia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"353340 Nova Odessa";-;-;-;-;-;-;-;5;-;4;38;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;50
"353325 Novais";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;-;-;-;5;-;12;35;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;5;-;-;-;-;-;61
"353360 Nuporanga";-;-;-;-;-;-;-;4;-;-;10;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4;1;-;-;-;-;20
"353370 Ocauçu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"353380 Óleo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"353390 Olímpia";-;1;-;-;-;-;-;8;-;9;55;-;-;-;1;-;-;7;-;1;-;-;1;-;-;-;13;-;-;1;-;-;97
"353400 Onda Verde";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"353410 Oriente";1;-;-;-;-;-;-;2;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"353420 Orindiúva";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"353430 Orlândia";-;-;-;-;-;1;-;7;-;17;93;1;1;-;1;-;-;6;-;1;-;-;1;-;-;-;8;-;-;-;1;-;138
"353440 Osasco";-;1;1;-;2;2;-;38;-;161;390;-;4;2;6;1;-;9;-;5;-;5;1;-;-;-;36;1;-;7;1;-;673
"353450 Oscar Bressane";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"353460 Osvaldo Cruz";-;1;-;-;-;-;-;6;-;4;28;-;-;-;2;-;-;1;2;-;-;-;1;-;-;-;11;-;-;-;1;-;57
"353470 Ourinhos";-;-;-;-;1;1;-;16;1;1;243;-;1;2;3;1;-;6;3;1;-;-;1;-;-;-;27;1;-;-;-;-;309
"353480 Ouro Verde";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;6
"353475 Ouroeste";-;-;-;-;-;-;-;2;-;-;9;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;15
"353490 Pacaembu";1;-;-;-;-;-;-;4;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;18
"353500 Palestina";-;-;-;-;-;-;-;1;-;1;5;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;2;-;-;1;-;-;14
"353510 Palmares Paulista";-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;8
"353520 Palmeira d'Oeste";-;-;-;-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;14
"353530 Palmital";-;1;-;-;-;-;-;5;-;1;22;-;1;-;1;-;-;2;-;-;-;-;1;-;-;-;2;-;-;-;-;-;36
"353540 Panorama";-;-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;12
"353550 Paraguaçu Paulista";-;1;-;-;-;1;-;13;-;2;52;-;2;-;1;-;-;1;-;-;-;-;1;-;-;-;6;-;-;-;1;-;81
"353560 Paraibuna";-;-;-;-;-;-;-;1;-;-;6;-;-;-;1;-;-;-;5;-;-;1;1;-;-;-;1;-;-;-;-;-;16
"353570 Paraíso";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"353580 Paranapanema";-;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;11
"353590 Paranapuã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"353610 Pardinho";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"353620 Pariquera-Açu";-;-;-;-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;17
"353625 Parisi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"353640 Paulicéia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353650 Paulínia";-;-;-;-;-;2;-;8;-;12;81;-;-;-;1;-;-;8;-;2;-;-;1;-;-;-;6;-;-;-;1;-;122
"353657 Paulistânia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353660 Paulo de Faria";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;6
"353670 Pederneiras";-;-;-;-;-;1;-;12;-;2;38;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;5;-;-;-;-;-;61
"353680 Pedra Bela";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"353690 Pedranópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"353700 Pedregulho";-;-;-;-;-;-;-;6;-;3;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;17
"353710 Pedreira";-;-;-;-;-;1;-;8;-;2;12;-;-;-;1;-;-;3;-;-;-;1;1;-;-;-;11;-;-;-;-;-;40
"353715 Pedrinhas Paulista";-;-;-;-;-;-;-;3;1;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;10
"353720 Pedro de Toledo";-;-;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"353730 Penápolis";-;-;-;-;-;1;-;10;1;5;93;1;-;1;2;-;-;2;-;-;-;1;1;-;-;-;12;-;-;-;-;-;130
"353740 Pereira Barreto";-;-;-;-;-;-;-;6;-;4;26;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;43
"353750 Pereiras";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"353760 Peruíbe";-;-;-;-;-;1;-;10;-;1;16;-;-;-;1;-;-;10;1;-;-;1;1;-;-;-;4;-;-;3;-;-;49
"353770 Piacatu";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353780 Piedade";-;-;-;-;-;-;-;7;-;2;27;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;43
"353790 Pilar do Sul";-;-;-;-;-;-;-;7;-;1;5;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;18
"353800 Pindamonhangaba";-;-;-;-;1;1;-;20;-;10;205;-;-;-;2;-;-;6;-;1;-;-;1;-;-;-;13;-;-;-;-;-;260
"353810 Pindorama";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;5;-;-;-;-;-;17
"353820 Pinhalzinho";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;3;1;-;-;1;-;-;-;1;-;-;-;-;-;9
"353830 Piquerobi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353850 Piquete";-;-;-;-;-;-;-;5;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;13
"353860 Piracaia";-;-;-;-;-;-;-;2;-;1;3;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;2;-;-;1;-;-;12
"353870 Piracicaba";-;-;1;-;-;1;-;65;-;173;469;-;1;-;5;1;-;5;-;-;1;4;2;1;-;-;73;-;-;13;-;-;815
"353880 Piraju";-;-;-;-;-;-;-;8;-;2;54;-;-;-;1;-;-;5;-;-;-;-;1;-;-;-;6;-;-;-;-;-;77
"353890 Pirajuí";-;-;-;-;-;-;-;5;-;1;25;-;-;1;1;-;-;-;3;-;-;1;1;-;-;-;4;-;-;-;1;-;43
"353900 Pirangi";-;-;-;-;-;-;-;3;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;15
"353910 Pirapora do Bom Jesus";-;-;-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;10
"353920 Pirapozinho";-;-;-;-;-;1;-;6;-;3;9;-;-;1;-;-;-;1;1;1;-;-;1;-;-;-;4;-;-;-;-;-;28
"353930 Pirassununga";-;-;-;-;-;3;-;-;-;9;154;-;-;-;1;-;-;2;15;1;-;1;1;-;-;-;7;1;-;1;-;-;196
"353940 Piratininga";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;6
"353950 Pitangueiras";-;-;-;-;-;-;-;6;-;5;41;-;-;-;1;-;-;6;-;1;-;-;1;-;-;-;2;-;-;1;-;-;64
"353960 Planalto";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;3
"353970 Platina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353980 Poá";-;1;-;-;-;-;-;17;-;7;10;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;6;3;-;-;-;-;48
"353990 Poloni";-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"354000 Pompéia";-;-;-;-;-;1;-;6;-;11;78;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;102
"354010 Pongaí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354020 Pontal";1;-;-;-;-;-;-;8;-;4;19;-;1;-;1;-;-;3;-;-;-;-;1;-;-;-;9;-;-;-;-;-;47
"354025 Pontalinda";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354030 Pontes Gestal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354040 Populina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354050 Porangaba";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"354060 Porto Feliz";-;-;-;-;-;-;-;7;-;7;41;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;62
"354070 Porto Ferreira";-;-;-;-;-;1;-;10;-;4;92;-;-;-;1;-;-;5;-;1;-;-;1;-;-;-;18;-;-;-;-;-;133
"354075 Potim";-;-;-;-;-;1;-;5;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;11
"354080 Potirendaba";-;-;-;-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;19
"354085 Pracinha";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354090 Pradópolis";-;-;-;-;-;-;-;4;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"354100 Praia Grande";-;3;-;-;-;1;-;20;-;20;64;-;-;-;1;3;-;17;1;1;-;6;1;-;-;-;12;-;-;5;1;-;156
"354105 Pratânia";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"354110 Presidente Alves";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354120 Presidente Bernardes";-;-;-;-;-;-;-;9;-;-;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;25
"354130 Presidente Epitácio";-;-;-;-;-;-;-;9;-;-;20;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;7;-;-;-;-;-;39
"354140 Presidente Prudente";-;-;-;-;-;1;-;24;-;55;483;-;1;5;8;-;1;11;1;2;-;-;2;-;-;-;34;-;-;-;2;-;630
"354150 Presidente Venceslau";-;-;-;-;-;1;-;10;-;1;34;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;9;2;-;-;-;-;60
"354160 Promissão";-;-;-;-;-;-;-;11;-;4;36;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;5;-;-;-;-;-;59
"354165 Quadra";-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"354170 Quatá";-;-;-;-;-;-;-;3;-;1;12;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;21
"354180 Queiroz";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354190 Queluz";-;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;9
"354200 Quintana";-;-;-;-;-;-;-;3;-;2;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"354210 Rafard";-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"354220 Rancharia";-;-;-;-;-;1;-;9;-;2;35;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;53
"354230 Redenção da Serra";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;-;-;-;8;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;16
"354250 Reginópolis";-;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"354260 Registro";-;-;-;-;-;1;-;15;-;13;49;-;1;-;2;-;-;2;-;-;-;1;2;-;-;-;9;-;-;-;-;-;95
"354270 Restinga";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354280 Ribeira";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354290 Ribeirão Bonito";-;-;-;-;-;-;-;4;-;1;17;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;25
"354300 Ribeirão Branco";-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"354310 Ribeirão Corrente";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"354320 Ribeirão do Sul";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354330 Ribeirão Pires";-;-;-;-;-;3;-;9;-;17;48;-;-;-;2;1;-;10;-;1;-;1;1;-;-;-;9;-;-;-;-;-;102
"354340 Ribeirão Preto";-;1;1;-;6;4;-;44;-;308;1074;-;1;4;12;-;1;70;3;1;-;1;2;-;-;-;85;1;-;13;4;-;1636
"354360 Rifaina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354370 Rincão";-;-;-;-;-;-;-;1;-;1;6;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;12
"354380 Rinópolis";-;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;10
"354390 Rio Claro";-;-;1;-;-;2;-;18;1;30;245;1;2;1;4;1;1;16;-;3;-;-;1;-;-;-;33;3;-;3;-;-;366
"354400 Rio das Pedras";-;-;-;-;-;1;-;1;-;4;55;-;-;-;1;-;-;3;-;-;-;1;1;-;-;-;3;-;-;-;-;-;70
"354410 Rio Grande da Serra";-;-;-;-;-;1;-;5;-;2;5;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;1;-;-;-;-;18
"354420 Riolândia";-;-;-;-;-;-;-;3;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"354350 Riversul";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354425 Rosana";-;-;-;-;-;-;-;1;-;-;20;-;-;-;1;-;-;1;8;-;-;-;1;-;-;-;5;-;-;-;-;-;37
"354430 Roseira";-;-;-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;8
"354440 Rubiácea";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"354450 Rubinéia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"354470 Sagres";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354480 Sales";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
